sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Bioenergy;1.49
Spain;2001;Bioenergy;1.63
Spain;2002;Bioenergy;2.59
Spain;2003;Bioenergy;3.18
Spain;2004;Bioenergy;3.33
Spain;2005;Bioenergy;2.65
Spain;2006;Bioenergy;2.77
Spain;2007;Bioenergy;2.9
Spain;2008;Bioenergy;3.26
Spain;2009;Bioenergy;3.49
Spain;2010;Bioenergy;4.01
Spain;2011;Bioenergy;4.61
Spain;2012;Bioenergy;4.98
Spain;2013;Bioenergy;5.8
Spain;2014;Bioenergy;5.41
Spain;2015;Bioenergy;5.76
Spain;2016;Bioenergy;5.69
Spain;2017;Bioenergy;6.08
Spain;2018;Bioenergy;5.91
Spain;2019;Bioenergy;5.57
Spain;2020;Bioenergy;6.14
Spain;2021;Bioenergy;6.45
Sri Lanka;2000;Bioenergy;0
Sri Lanka;2001;Bioenergy;0
Sri Lanka;2002;Bioenergy;0
Sri Lanka;2003;Bioenergy;0
Sri Lanka;2004;Bioenergy;0
Sri Lanka;2005;Bioenergy;0
Sri Lanka;2006;Bioenergy;0
Sri Lanka;2007;Bioenergy;0.01
Sri Lanka;2008;Bioenergy;0.06
Sri Lanka;2009;Bioenergy;0.06
Sri Lanka;2010;Bioenergy;0.04
Sri Lanka;2011;Bioenergy;0.04
Sri Lanka;2012;Bioenergy;0.05
Sri Lanka;2013;Bioenergy;0.04
Sri Lanka;2014;Bioenergy;0.08
Sri Lanka;2015;Bioenergy;0.08
Sri Lanka;2016;Bioenergy;0.13
Sri Lanka;2017;Bioenergy;0.19
Sri Lanka;2018;Bioenergy;0.2
Sri Lanka;2019;Bioenergy;0.25
Sri Lanka;2020;Bioenergy;0.24
Sudan (the);2000;Bioenergy;0.1
Sudan (the);2001;Bioenergy;0.12
Sudan (the);2002;Bioenergy;0.13
Sudan (the);2003;Bioenergy;0.16
Sudan (the);2004;Bioenergy;0.16
Sudan (the);2005;Bioenergy;0.17
Sudan (the);2006;Bioenergy;0.17
Sudan (the);2007;Bioenergy;0.19
Sudan (the);2008;Bioenergy;0.22
Sudan (the);2009;Bioenergy;0.18
Sudan (the);2010;Bioenergy;0.07
Sudan (the);2011;Bioenergy;0.11
Sudan (the);2012;Bioenergy;0.3
Sudan (the);2013;Bioenergy;0.22
Sudan (the);2014;Bioenergy;0.26
Sudan (the);2015;Bioenergy;0.48
Sudan (the);2016;Bioenergy;0.66
Sudan (the);2017;Bioenergy;0.64
Sudan (the);2018;Bioenergy;0.68
Sudan (the);2019;Bioenergy;0.71
Sudan (the);2020;Bioenergy;0.67
Suriname;2000;Bioenergy;0
Suriname;2001;Bioenergy;0
Suriname;2002;Bioenergy;0
Suriname;2003;Bioenergy;0
Suriname;2004;Bioenergy;0
Suriname;2005;Bioenergy;0
Suriname;2006;Bioenergy;0
Suriname;2007;Bioenergy;0
Suriname;2008;Bioenergy;0
Suriname;2009;Bioenergy;0
Suriname;2010;Bioenergy;0
Suriname;2011;Bioenergy;0
Suriname;2012;Bioenergy;0
Suriname;2013;Bioenergy;0
Suriname;2014;Bioenergy;0
Suriname;2015;Bioenergy;0.01
Suriname;2016;Bioenergy;0.01
Suriname;2017;Bioenergy;0
Suriname;2018;Bioenergy;0
Suriname;2019;Bioenergy;0
Suriname;2020;Bioenergy;0
