sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Bioenergy;0.67
Spain;2001;Bioenergy;0.7
Spain;2002;Bioenergy;1.08
Spain;2003;Bioenergy;1.24
Spain;2004;Bioenergy;1.22
Spain;2005;Bioenergy;0.93
Spain;2006;Bioenergy;0.94
Spain;2007;Bioenergy;0.96
Spain;2008;Bioenergy;1.05
Spain;2009;Bioenergy;1.2
Spain;2010;Bioenergy;1.34
Spain;2011;Bioenergy;1.58
Spain;2012;Bioenergy;1.7
Spain;2013;Bioenergy;2.06
Spain;2014;Bioenergy;1.97
Spain;2015;Bioenergy;2.08
Spain;2016;Bioenergy;2.1
Spain;2017;Bioenergy;2.23
Spain;2018;Bioenergy;2.17
Spain;2019;Bioenergy;2.06
Spain;2020;Bioenergy;2.36
Spain;2021;Bioenergy;2.4
Sri Lanka;2000;Bioenergy;0
Sri Lanka;2001;Bioenergy;0
Sri Lanka;2002;Bioenergy;0
Sri Lanka;2003;Bioenergy;0
Sri Lanka;2004;Bioenergy;0
Sri Lanka;2005;Bioenergy;0
Sri Lanka;2006;Bioenergy;0
Sri Lanka;2007;Bioenergy;0.11
Sri Lanka;2008;Bioenergy;0.62
Sri Lanka;2009;Bioenergy;0.62
Sri Lanka;2010;Bioenergy;0.38
Sri Lanka;2011;Bioenergy;0.36
Sri Lanka;2012;Bioenergy;0.44
Sri Lanka;2013;Bioenergy;0.34
Sri Lanka;2014;Bioenergy;0.67
Sri Lanka;2015;Bioenergy;0.63
Sri Lanka;2016;Bioenergy;0.95
Sri Lanka;2017;Bioenergy;1.29
Sri Lanka;2018;Bioenergy;1.35
Sri Lanka;2019;Bioenergy;1.63
Sri Lanka;2020;Bioenergy;1.58
Sudan (the);2000;Bioenergy;3.89
Sudan (the);2001;Bioenergy;4.23
Sudan (the);2002;Bioenergy;4.22
Sudan (the);2003;Bioenergy;4.79
Sudan (the);2004;Bioenergy;4.62
Sudan (the);2005;Bioenergy;4.47
Sudan (the);2006;Bioenergy;3.8
Sudan (the);2007;Bioenergy;3.84
Sudan (the);2008;Bioenergy;4.07
Sudan (the);2009;Bioenergy;2.8
Sudan (the);2010;Bioenergy;0.93
Sudan (the);2011;Bioenergy;1.31
Sudan (the);2012;Bioenergy;3.22
Sudan (the);2013;Bioenergy;2.15
Sudan (the);2014;Bioenergy;2.31
Sudan (the);2015;Bioenergy;3.75
Sudan (the);2016;Bioenergy;4.68
Sudan (the);2017;Bioenergy;4.21
Sudan (the);2018;Bioenergy;4.28
Sudan (the);2019;Bioenergy;4.97
