sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Clean;96.7
Spain;2001;Clean;113.01
Spain;2002;Clean;96.19
Spain;2003;Clean;117.63
Spain;2004;Clean;113.74
Spain;2005;Clean;99.81
Spain;2006;Clean;112.28
Spain;2007;Clean;113.4
Spain;2008;Clean;121.12
Spain;2009;Clean;126.84
Spain;2010;Clean;159.76
Spain;2011;Clean;145.25
Spain;2012;Clean;148.44
Spain;2013;Clean;168.15
Spain;2014;Clean;167.57
Spain;2015;Clean;154.29
Spain;2016;Clean;163.26
Spain;2017;Clean;145.97
Spain;2018;Clean;159.65
Spain;2019;Clean;159.34
Spain;2020;Clean;172.09
Spain;2021;Clean;180.87
Sri Lanka;2000;Clean;3.17
Sri Lanka;2001;Clean;3.09
Sri Lanka;2002;Clean;2.68
Sri Lanka;2003;Clean;3.27
Sri Lanka;2004;Clean;2.94
Sri Lanka;2005;Clean;3.43
Sri Lanka;2006;Clean;3.86
Sri Lanka;2007;Clean;3.94
Sri Lanka;2008;Clean;4.17
Sri Lanka;2009;Clean;3.95
Sri Lanka;2010;Clean;5.69
Sri Lanka;2011;Clean;4.72
Sri Lanka;2012;Clean;3.48
Sri Lanka;2013;Clean;7.14
Sri Lanka;2014;Clean;4.88
Sri Lanka;2015;Clean;6.35
Sri Lanka;2016;Clean;4.67
Sri Lanka;2017;Clean;4.68
Sri Lanka;2018;Clean;6.98
Sri Lanka;2019;Clean;5.22
Sri Lanka;2020;Clean;5.6
Sudan (the);2000;Clean;1.27
Sudan (the);2001;Clean;1.37
Sudan (the);2002;Clean;1.4
Sudan (the);2003;Clean;1.31
Sudan (the);2004;Clean;1.26
Sudan (the);2005;Clean;1.42
Sudan (the);2006;Clean;1.53
Sudan (the);2007;Clean;1.63
Sudan (the);2008;Clean;1.67
Sudan (the);2009;Clean;3.38
Sudan (the);2010;Clean;6.21
Sudan (the);2011;Clean;6.51
Sudan (the);2012;Clean;6.86
Sudan (the);2013;Clean;8.46
Sudan (the);2014;Clean;9.09
Sudan (the);2015;Clean;8.83
Sudan (the);2016;Clean;8.65
Sudan (the);2017;Clean;9.91
Sudan (the);2018;Clean;10.26
Sudan (the);2019;Clean;8.48
Sudan (the);2020;Clean;8.44
Suriname;2000;Clean;0.71
Suriname;2001;Clean;0.73
Suriname;2002;Clean;0.74
Suriname;2003;Clean;0.75
Suriname;2004;Clean;0.76
Suriname;2005;Clean;0.82
Suriname;2006;Clean;0.86
Suriname;2007;Clean;0.86
Suriname;2008;Clean;0.86
Suriname;2009;Clean;0.86
Suriname;2010;Clean;1.2
Suriname;2011;Clean;1.03
Suriname;2012;Clean;0.82
Suriname;2013;Clean;0.83
Suriname;2014;Clean;0.56
Suriname;2015;Clean;0.49
Suriname;2016;Clean;0.8
Suriname;2017;Clean;0.93
Suriname;2018;Clean;1
Suriname;2019;Clean;1.37
Suriname;2020;Clean;1.37
Sweden;2000;Clean;140.46
Sweden;2001;Clean;155.43
Sweden;2002;Clean;139.26
Sweden;2003;Clean;126.15
Sweden;2004;Clean;145.67
Sweden;2005;Clean;153.61
Sweden;2006;Clean;138.04
Sweden;2007;Clean;144.4
Sweden;2008;Clean;145.3
Sweden;2009;Clean;131.98
Sweden;2010;Clean;139.92
Sweden;2011;Clean;144.56
Sweden;2012;Clean;162.34
Sweden;2013;Clean;149.15
Sweden;2014;Clean;150.62
Sweden;2015;Clean;158.85
Sweden;2016;Clean;152.23
Sweden;2017;Clean;160.76
Sweden;2018;Clean;159.7
Sweden;2019;Clean;165.07
Sweden;2020;Clean;161.35
Sweden;2021;Clean;168.64
Switzerland;2000;Clean;59.12
Switzerland;2001;Clean;63.91
Switzerland;2002;Clean;58.34
Switzerland;2003;Clean;58.22
Switzerland;2004;Clean;56.73
Switzerland;2005;Clean;50.96
Switzerland;2006;Clean;54.83
Switzerland;2007;Clean;59.05
Switzerland;2008;Clean;59.68
Switzerland;2009;Clean;59.3
Switzerland;2010;Clean;58.87
Switzerland;2011;Clean;55.99
Switzerland;2012;Clean;60.76
Switzerland;2013;Clean;61.24
Switzerland;2014;Clean;62.67
Switzerland;2015;Clean;58.89
Switzerland;2016;Clean;53.87
Switzerland;2017;Clean;53.04
Switzerland;2018;Clean;58.82
Switzerland;2019;Clean;63.01
Switzerland;2020;Clean;63.69
Switzerland;2021;Clean;58.01
Syrian Arab Republic (the);2000;Clean;3.22
Syrian Arab Republic (the);2001;Clean;3.4
Syrian Arab Republic (the);2002;Clean;2.45
Syrian Arab Republic (the);2003;Clean;2.75
Syrian Arab Republic (the);2004;Clean;4.15
Syrian Arab Republic (the);2005;Clean;4.31
Syrian Arab Republic (the);2006;Clean;3.94
Syrian Arab Republic (the);2007;Clean;3.47
Syrian Arab Republic (the);2008;Clean;2.87
Syrian Arab Republic (the);2009;Clean;1.88
Syrian Arab Republic (the);2010;Clean;2.6
Syrian Arab Republic (the);2011;Clean;3.28
Syrian Arab Republic (the);2012;Clean;3.22
Syrian Arab Republic (the);2013;Clean;2.98
Syrian Arab Republic (the);2014;Clean;2.33
Syrian Arab Republic (the);2015;Clean;0.42
Syrian Arab Republic (the);2016;Clean;0.93
Syrian Arab Republic (the);2017;Clean;0.76
Syrian Arab Republic (the);2018;Clean;0.76
Syrian Arab Republic (the);2019;Clean;1.26
Syrian Arab Republic (the);2020;Clean;0.76
Taiwan (Province of China);2000;Clean;42.53
Taiwan (Province of China);2001;Clean;40.46
Taiwan (Province of China);2002;Clean;42.46
Taiwan (Province of China);2003;Clean;42.13
Taiwan (Province of China);2004;Clean;42.89
Taiwan (Province of China);2005;Clean;44.19
Taiwan (Province of China);2006;Clean;44.4
Taiwan (Province of China);2007;Clean;45.55
Taiwan (Province of China);2008;Clean;45.87
Taiwan (Province of China);2009;Clean;46.05
Taiwan (Province of China);2010;Clean;46.83
Taiwan (Province of China);2011;Clean;47.67
Taiwan (Province of China);2012;Clean;47.7
Taiwan (Province of China);2013;Clean;49.19
Taiwan (Province of China);2014;Clean;48.99
Taiwan (Province of China);2015;Clean;43.86
Taiwan (Province of China);2016;Clean;41.42
Taiwan (Province of China);2017;Clean;32.18
Taiwan (Province of China);2018;Clean;37.45
Taiwan (Province of China);2019;Clean;44.6
Taiwan (Province of China);2020;Clean;48.09
Taiwan (Province of China);2021;Clean;48.73
Tajikistan;2000;Clean;13.77
Tajikistan;2001;Clean;14.06
Tajikistan;2002;Clean;15.01
Tajikistan;2003;Clean;16.17
Tajikistan;2004;Clean;16.18
Tajikistan;2005;Clean;16.8
Tajikistan;2006;Clean;16.53
Tajikistan;2007;Clean;16.94
Tajikistan;2008;Clean;16.64
Tajikistan;2009;Clean;15.74
Tajikistan;2010;Clean;16.24
Tajikistan;2011;Clean;16.04
Tajikistan;2012;Clean;16.73
Tajikistan;2013;Clean;16.9
Tajikistan;2014;Clean;15.84
Tajikistan;2015;Clean;16.83
Tajikistan;2016;Clean;16.47
Tajikistan;2017;Clean;16.96
Tajikistan;2018;Clean;18.21
Tajikistan;2019;Clean;18.98
Tajikistan;2020;Clean;17
Tajikistan;2021;Clean;17.43
Thailand;2000;Clean;6.46
Thailand;2001;Clean;6.83
Thailand;2002;Clean;8.1
Thailand;2003;Clean;8.38
Thailand;2004;Clean;7.71
Thailand;2005;Clean;7.49
Thailand;2006;Clean;9.91
Thailand;2007;Clean;10.27
Thailand;2008;Clean;9.04
Thailand;2009;Clean;9.2
Thailand;2010;Clean;8.71
Thailand;2011;Clean;11.98
Thailand;2012;Clean;13.65
Thailand;2013;Clean;12.43
Thailand;2014;Clean;13.46
Thailand;2015;Clean;13.28
Thailand;2016;Clean;15.92
Thailand;2017;Clean;19.35
Thailand;2018;Clean;25.07
Thailand;2019;Clean;29.16
Thailand;2020;Clean;26.16
Thailand;2021;Clean;27.36
Togo;2000;Clean;0.1
Togo;2001;Clean;0.05
Togo;2002;Clean;0.09
Togo;2003;Clean;0.12
Togo;2004;Clean;0.08
Togo;2005;Clean;0.07
Togo;2006;Clean;0.09
Togo;2007;Clean;0.09
Togo;2008;Clean;0.09
Togo;2009;Clean;0.11
Togo;2010;Clean;0.09
Togo;2011;Clean;0.1
Togo;2012;Clean;0.09
Togo;2013;Clean;0.04
Togo;2014;Clean;0.12
Togo;2015;Clean;0.06
Togo;2016;Clean;0.2
Togo;2017;Clean;0.1
Togo;2018;Clean;0
Togo;2019;Clean;0.09
Togo;2020;Clean;0.09
Tonga;2000;Clean;0
Tonga;2001;Clean;0
Tonga;2002;Clean;0
Tonga;2003;Clean;0
Tonga;2004;Clean;0
Tonga;2005;Clean;0
Tonga;2006;Clean;0
Tonga;2007;Clean;0
Tonga;2008;Clean;0
Tonga;2009;Clean;0
Tonga;2010;Clean;0
Tonga;2011;Clean;0
Tonga;2012;Clean;0
Tonga;2013;Clean;0
Tonga;2014;Clean;0
Tonga;2015;Clean;0
Tonga;2016;Clean;0
Tonga;2017;Clean;0
Tonga;2018;Clean;0
Tonga;2019;Clean;0
Tonga;2020;Clean;0
Trinidad and Tobago;2000;Clean;0.02
Trinidad and Tobago;2001;Clean;0.02
Trinidad and Tobago;2002;Clean;0.02
Trinidad and Tobago;2003;Clean;0.03
Trinidad and Tobago;2004;Clean;0.03
Trinidad and Tobago;2005;Clean;0.03
Trinidad and Tobago;2006;Clean;0.03
Trinidad and Tobago;2007;Clean;0.03
Trinidad and Tobago;2008;Clean;0
Trinidad and Tobago;2009;Clean;0
Trinidad and Tobago;2010;Clean;0
Trinidad and Tobago;2011;Clean;0
Trinidad and Tobago;2012;Clean;0
Trinidad and Tobago;2013;Clean;0
Trinidad and Tobago;2014;Clean;0
Trinidad and Tobago;2015;Clean;0
Trinidad and Tobago;2016;Clean;0
Trinidad and Tobago;2017;Clean;0
Trinidad and Tobago;2018;Clean;0
Trinidad and Tobago;2019;Clean;0
Trinidad and Tobago;2020;Clean;0
Tunisia;2000;Clean;0.08
Tunisia;2001;Clean;0.07
Tunisia;2002;Clean;0.09
Tunisia;2003;Clean;0.19
Tunisia;2004;Clean;0.19
Tunisia;2005;Clean;0.18
Tunisia;2006;Clean;0.13
Tunisia;2007;Clean;0.09
Tunisia;2008;Clean;0.07
Tunisia;2009;Clean;0.18
Tunisia;2010;Clean;0.19
Tunisia;2011;Clean;0.16
Tunisia;2012;Clean;0.31
Tunisia;2013;Clean;0.43
Tunisia;2014;Clean;0.59
Tunisia;2015;Clean;0.58
Tunisia;2016;Clean;0.63
Tunisia;2017;Clean;0.6
Tunisia;2018;Clean;0.64
Tunisia;2019;Clean;0.82
Tunisia;2020;Clean;0.81
Tunisia;2021;Clean;0.83
Turkey;2000;Clean;31.16
Turkey;2001;Clean;24.34
Turkey;2002;Clean;33.96
Turkey;2003;Clean;35.56
Turkey;2004;Clean;46.31
Turkey;2005;Clean;39.74
Turkey;2006;Clean;44.52
Turkey;2007;Clean;36.46
Turkey;2008;Clean;34.42
Turkey;2009;Clean;38.15
Turkey;2010;Clean;55.72
Turkey;2011;Clean;58.09
Turkey;2012;Clean;65.21
Turkey;2013;Clean;69.22
Turkey;2014;Clean;52.62
Turkey;2015;Clean;83.65
Turkey;2016;Clean;90.24
Turkey;2017;Clean;87.24
Turkey;2018;Clean;97.77
Turkey;2019;Clean;132.26
Turkey;2020;Clean;128.34
Turkey;2021;Clean;117.04
Turkmenistan;2000;Clean;0
Turkmenistan;2001;Clean;0
Turkmenistan;2002;Clean;0
Turkmenistan;2003;Clean;0
