sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Clean;43.76
Spain;2001;Clean;48.49
Spain;2002;Clean;40.09
Spain;2003;Clean;45.72
Spain;2004;Clean;41.58
Spain;2005;Clean;35.09
Spain;2006;Clean;38.03
Spain;2007;Clean;37.6
Spain;2008;Clean;38.99
Spain;2009;Clean;43.52
Spain;2010;Clean;53.58
Spain;2011;Clean;49.85
Spain;2012;Clean;50.53
Spain;2013;Clean;59.73
Spain;2014;Clean;60.95
Spain;2015;Clean;55.6
Spain;2016;Clean;60.2
Spain;2017;Clean;53.49
Spain;2018;Clean;58.72
Spain;2019;Clean;58.82
Spain;2020;Clean;66.26
Spain;2021;Clean;67.42
Sri Lanka;2000;Clean;49.15
Sri Lanka;2001;Clean;47.32
Sri Lanka;2002;Clean;39.41
Sri Lanka;2003;Clean;44.12
Sri Lanka;2004;Clean;37.31
Sri Lanka;2005;Clean;38.41
Sri Lanka;2006;Clean;45.9
Sri Lanka;2007;Clean;41.43
Sri Lanka;2008;Clean;43.35
Sri Lanka;2009;Clean;41.1
Sri Lanka;2010;Clean;54.5
Sri Lanka;2011;Clean;42.18
Sri Lanka;2012;Clean;30.61
Sri Lanka;2013;Clean;61.23
Sri Lanka;2014;Clean;40.81
Sri Lanka;2015;Clean;49.97
Sri Lanka;2016;Clean;34.19
Sri Lanka;2017;Clean;31.79
Sri Lanka;2018;Clean;47
Sri Lanka;2019;Clean;34.04
Sri Lanka;2020;Clean;36.82
Sudan (the);2000;Clean;49.42
Sudan (the);2001;Clean;48.24
Sudan (the);2002;Clean;45.45
Sudan (the);2003;Clean;39.22
Sudan (the);2004;Clean;36.41
Sudan (the);2005;Clean;37.36
Sudan (the);2006;Clean;34.23
Sudan (the);2007;Clean;32.93
Sudan (the);2008;Clean;30.92
Sudan (the);2009;Clean;52.64
Sudan (the);2010;Clean;82.91
Sudan (the);2011;Clean;77.59
Sudan (the);2012;Clean;73.53
Sudan (the);2013;Clean;82.7
Sudan (the);2014;Clean;80.73
Sudan (the);2015;Clean;68.94
Sudan (the);2016;Clean;61.38
Sudan (the);2017;Clean;65.16
Sudan (the);2018;Clean;64.54
Sudan (the);2019;Clean;59.38
Sudan (the);2020;Clean;60.46
Suriname;2000;Clean;50.71
Suriname;2001;Clean;51.41
Suriname;2002;Clean;51.75
Suriname;2003;Clean;52.08
Suriname;2004;Clean;52.41
Suriname;2005;Clean;53.95
Suriname;2006;Clean;55.13
Suriname;2007;Clean;55.13
Suriname;2008;Clean;55.13
Suriname;2009;Clean;55.13
Suriname;2010;Clean;71.43
Suriname;2011;Clean;54.5
Suriname;2012;Clean;43.39
Suriname;2013;Clean;43.23
Suriname;2014;Clean;29.02
Suriname;2015;Clean;25.12
Suriname;2016;Clean;41.67
Suriname;2017;Clean;49.47
Suriname;2018;Clean;52.91
Suriname;2019;Clean;58.05
Suriname;2020;Clean;59.3
Sweden;2000;Clean;96.72
Sweden;2001;Clean;96.18
Sweden;2002;Clean;94.94
Sweden;2003;Clean;93.18
Sweden;2004;Clean;96.03
Sweden;2005;Clean;96.99
Sweden;2006;Clean;96.34
Sweden;2007;Clean;97.03
Sweden;2008;Clean;96.93
Sweden;2009;Clean;96.62
Sweden;2010;Clean;94.26
Sweden;2011;Clean;96.2
Sweden;2012;Clean;97.54
Sweden;2013;Clean;97.47
Sweden;2014;Clean;98.08
Sweden;2015;Clean;98.05
Sweden;2016;Clean;97.65
Sweden;2017;Clean;97.88
Sweden;2018;Clean;97.75
Sweden;2019;Clean;98
Sweden;2020;Clean;98.52
Sweden;2021;Clean;98.57
Switzerland;2000;Clean;95.75
Switzerland;2001;Clean;95.93
Switzerland;2002;Clean;95.44
Switzerland;2003;Clean;95.32
Switzerland;2004;Clean;95.1
Switzerland;2005;Clean;94.5
Switzerland;2006;Clean;94.65
Switzerland;2007;Clean;95.14
Switzerland;2008;Clean;95.15
Switzerland;2009;Clean;95.19
Switzerland;2010;Clean;94.67
Switzerland;2011;Clean;94.39
Switzerland;2012;Clean;94.55
Switzerland;2013;Clean;94.63
Switzerland;2014;Clean;94.89
Switzerland;2015;Clean;94.66
Switzerland;2016;Clean;93.6
Switzerland;2017;Clean;93.54
Switzerland;2018;Clean;94.33
Switzerland;2019;Clean;94.63
Switzerland;2020;Clean;94.74
Switzerland;2021;Clean;94.26
Syrian Arab Republic (the);2000;Clean;13.47
Syrian Arab Republic (the);2001;Clean;13.43
Syrian Arab Republic (the);2002;Clean;9.25
Syrian Arab Republic (the);2003;Clean;9.84
Syrian Arab Republic (the);2004;Clean;13.66
Syrian Arab Republic (the);2005;Clean;13.02
Syrian Arab Republic (the);2006;Clean;11.17
Syrian Arab Republic (the);2007;Clean;9.5
Syrian Arab Republic (the);2008;Clean;7.41
Syrian Arab Republic (the);2009;Clean;4.6
Syrian Arab Republic (the);2010;Clean;5.94
Syrian Arab Republic (the);2011;Clean;8.3
Syrian Arab Republic (the);2012;Clean;9.71
Syrian Arab Republic (the);2013;Clean;12.51
Syrian Arab Republic (the);2014;Clean;11.59
Syrian Arab Republic (the);2015;Clean;2.48
Syrian Arab Republic (the);2016;Clean;5.41
Syrian Arab Republic (the);2017;Clean;4.37
Syrian Arab Republic (the);2018;Clean;4.44
Syrian Arab Republic (the);2019;Clean;7.37
Syrian Arab Republic (the);2020;Clean;4.8
Taiwan (Province of China);2000;Clean;24.67
Taiwan (Province of China);2001;Clean;22.92
Taiwan (Province of China);2002;Clean;22.66
Taiwan (Province of China);2003;Clean;21.41
Taiwan (Province of China);2004;Clean;21.26
Taiwan (Province of China);2005;Clean;20.93
Taiwan (Province of China);2006;Clean;20.3
Taiwan (Province of China);2007;Clean;20.16
Taiwan (Province of China);2008;Clean;20.65
Taiwan (Province of China);2009;Clean;21.5
Taiwan (Province of China);2010;Clean;20.31
Taiwan (Province of China);2011;Clean;20.23
Taiwan (Province of China);2012;Clean;20.38
Taiwan (Province of China);2013;Clean;20.78
Taiwan (Province of China);2014;Clean;20.11
Taiwan (Province of China);2015;Clean;18.12
Taiwan (Province of China);2016;Clean;16.79
Taiwan (Province of China);2017;Clean;12.76
Taiwan (Province of China);2018;Clean;14.55
Taiwan (Province of China);2019;Clean;16.54
Taiwan (Province of China);2020;Clean;17.16
Taiwan (Province of China);2021;Clean;16.69
Tajikistan;2000;Clean;98.5
Tajikistan;2001;Clean;98.87
Tajikistan;2002;Clean;99.14
Tajikistan;2003;Clean;99.02
Tajikistan;2004;Clean;99.14
Tajikistan;2005;Clean;99.23
Tajikistan;2006;Clean;98.57
Tajikistan;2007;Clean;97.81
Tajikistan;2008;Clean;97.94
Tajikistan;2009;Clean;98.62
Tajikistan;2010;Clean;99.82
Tajikistan;2011;Clean;99.81
Tajikistan;2012;Clean;99.58
Tajikistan;2013;Clean;99.71
Tajikistan;2014;Clean;99.06
