sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Coal;79.09
Spain;2001;Coal;70.27
Spain;2002;Coal;81.18
Spain;2003;Coal;74.73
Spain;2004;Coal;79.1
Spain;2005;Coal;79.06
Spain;2006;Coal;66.74
Spain;2007;Coal;72.8
Spain;2008;Coal;48.71
Spain;2009;Coal;35.91
Spain;2010;Coal;25.33
Spain;2011;Coal;43.98
Spain;2012;Coal;55.07
Spain;2013;Coal;39.94
Spain;2014;Coal;43.81
Spain;2015;Coal;51.37
Spain;2016;Coal;36.43
Spain;2017;Coal;45.13
Spain;2018;Coal;37.34
Spain;2019;Coal;12.86
Spain;2020;Coal;5.52
Spain;2021;Coal;5.51
Sri Lanka;2000;Coal;0
Sri Lanka;2001;Coal;0
Sri Lanka;2002;Coal;0
Sri Lanka;2003;Coal;0
Sri Lanka;2004;Coal;0
Sri Lanka;2005;Coal;0
Sri Lanka;2006;Coal;0
Sri Lanka;2007;Coal;0
Sri Lanka;2008;Coal;0
Sri Lanka;2009;Coal;0
Sri Lanka;2010;Coal;0
Sri Lanka;2011;Coal;1.15
Sri Lanka;2012;Coal;1.4
Sri Lanka;2013;Coal;0.86
Sri Lanka;2014;Coal;2.88
Sri Lanka;2015;Coal;2.74
Sri Lanka;2016;Coal;3.92
Sri Lanka;2017;Coal;4.38
Sri Lanka;2018;Coal;3.48
Sri Lanka;2019;Coal;4.17
Sri Lanka;2020;Coal;3.99
Sudan (the);2000;Coal;0
Sudan (the);2001;Coal;0
Sudan (the);2002;Coal;0
Sudan (the);2003;Coal;0
Sudan (the);2004;Coal;0
Sudan (the);2005;Coal;0
Sudan (the);2006;Coal;0
Sudan (the);2007;Coal;0
Sudan (the);2008;Coal;0
Sudan (the);2009;Coal;0
Sudan (the);2010;Coal;0
Sudan (the);2011;Coal;0
Sudan (the);2012;Coal;0
Sudan (the);2013;Coal;0
Sudan (the);2014;Coal;0
Sudan (the);2015;Coal;0
Sudan (the);2016;Coal;0
Sudan (the);2017;Coal;0
Sudan (the);2018;Coal;0
Sudan (the);2019;Coal;0
Sudan (the);2020;Coal;0
Suriname;2000;Coal;0
Suriname;2001;Coal;0
Suriname;2002;Coal;0
Suriname;2003;Coal;0
Suriname;2004;Coal;0
Suriname;2005;Coal;0
Suriname;2006;Coal;0
Suriname;2007;Coal;0
Suriname;2008;Coal;0
Suriname;2009;Coal;0
Suriname;2010;Coal;0
Suriname;2011;Coal;0
Suriname;2012;Coal;0
Suriname;2013;Coal;0
Suriname;2014;Coal;0
Suriname;2015;Coal;0
Suriname;2016;Coal;0
Suriname;2017;Coal;0
Suriname;2018;Coal;0
Suriname;2019;Coal;0
Suriname;2020;Coal;0
Sweden;2000;Coal;1.64
Sweden;2001;Coal;1.88
Sweden;2002;Coal;2.37
Sweden;2003;Coal;2.85
Sweden;2004;Coal;1.01
Sweden;2005;Coal;0.65
Sweden;2006;Coal;0.88
Sweden;2007;Coal;0.65
Sweden;2008;Coal;0.51
Sweden;2009;Coal;0.51
Sweden;2010;Coal;1.02
Sweden;2011;Coal;0.66
Sweden;2012;Coal;0.48
Sweden;2013;Coal;0.65
Sweden;2014;Coal;0.37
Sweden;2015;Coal;0.39
Sweden;2016;Coal;0.26
Sweden;2017;Coal;0.32
Sweden;2018;Coal;0.34
Sweden;2019;Coal;0.21
Sweden;2020;Coal;0
Sweden;2021;Coal;0
Switzerland;2000;Coal;0
Switzerland;2001;Coal;0
Switzerland;2002;Coal;0
Switzerland;2003;Coal;0
Switzerland;2004;Coal;0
Switzerland;2005;Coal;0
Switzerland;2006;Coal;0
Switzerland;2007;Coal;0
Switzerland;2008;Coal;0
Switzerland;2009;Coal;0
Switzerland;2010;Coal;0
Switzerland;2011;Coal;0
Switzerland;2012;Coal;0
Switzerland;2013;Coal;0
Switzerland;2014;Coal;0
Switzerland;2015;Coal;0
Switzerland;2016;Coal;0
Switzerland;2017;Coal;0
Switzerland;2018;Coal;0
Switzerland;2019;Coal;0
Switzerland;2020;Coal;0
Switzerland;2021;Coal;0
Syrian Arab Republic (the);2000;Coal;0
Syrian Arab Republic (the);2001;Coal;0
Syrian Arab Republic (the);2002;Coal;0
Syrian Arab Republic (the);2003;Coal;0
Syrian Arab Republic (the);2004;Coal;0
Syrian Arab Republic (the);2005;Coal;0
Syrian Arab Republic (the);2006;Coal;0
Syrian Arab Republic (the);2007;Coal;0
Syrian Arab Republic (the);2008;Coal;0
Syrian Arab Republic (the);2009;Coal;0
Syrian Arab Republic (the);2010;Coal;0.27
Syrian Arab Republic (the);2011;Coal;0.23
Syrian Arab Republic (the);2012;Coal;0.19
Syrian Arab Republic (the);2013;Coal;0.12
Syrian Arab Republic (the);2014;Coal;0.1
Syrian Arab Republic (the);2015;Coal;0.1
Syrian Arab Republic (the);2016;Coal;0.09
Syrian Arab Republic (the);2017;Coal;0.1
Syrian Arab Republic (the);2018;Coal;0.09
Syrian Arab Republic (the);2019;Coal;0.09
Syrian Arab Republic (the);2020;Coal;0.1
Taiwan (Province of China);2000;Coal;83.6
Taiwan (Province of China);2001;Coal;91.67
