sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Coal;35.8
Spain;2001;Coal;30.15
Spain;2002;Coal;33.84
Spain;2003;Coal;29.04
Spain;2004;Coal;28.91
Spain;2005;Coal;27.79
Spain;2006;Coal;22.6
Spain;2007;Coal;24.14
Spain;2008;Coal;15.68
Spain;2009;Coal;12.32
Spain;2010;Coal;8.5
Spain;2011;Coal;15.09
Spain;2012;Coal;18.75
Spain;2013;Coal;14.19
Spain;2014;Coal;15.93
Spain;2015;Coal;18.51
Spain;2016;Coal;13.43
Spain;2017;Coal;16.54
Spain;2018;Coal;13.73
Spain;2019;Coal;4.75
Spain;2020;Coal;2.13
Spain;2021;Coal;2.05
Sri Lanka;2000;Coal;0
Sri Lanka;2001;Coal;0
Sri Lanka;2002;Coal;0
Sri Lanka;2003;Coal;0
Sri Lanka;2004;Coal;0
Sri Lanka;2005;Coal;0
Sri Lanka;2006;Coal;0
Sri Lanka;2007;Coal;0
Sri Lanka;2008;Coal;0
Sri Lanka;2009;Coal;0
Sri Lanka;2010;Coal;0
Sri Lanka;2011;Coal;10.28
Sri Lanka;2012;Coal;12.31
Sri Lanka;2013;Coal;7.38
Sri Lanka;2014;Coal;24.08
Sri Lanka;2015;Coal;21.56
Sri Lanka;2016;Coal;28.7
Sri Lanka;2017;Coal;29.76
Sri Lanka;2018;Coal;23.43
Sri Lanka;2019;Coal;27.2
Sri Lanka;2020;Coal;26.23
Sudan (the);2000;Coal;0
Sudan (the);2001;Coal;0
Sudan (the);2002;Coal;0
Sudan (the);2003;Coal;0
Sudan (the);2004;Coal;0
Sudan (the);2005;Coal;0
Sudan (the);2006;Coal;0
Sudan (the);2007;Coal;0
Sudan (the);2008;Coal;0
Sudan (the);2009;Coal;0
Sudan (the);2010;Coal;0
Sudan (the);2011;Coal;0
Sudan (the);2012;Coal;0
Sudan (the);2013;Coal;0
Sudan (the);2014;Coal;0
Sudan (the);2015;Coal;0
Sudan (the);2016;Coal;0
Sudan (the);2017;Coal;0
Sudan (the);2018;Coal;0
Sudan (the);2019;Coal;0
Sudan (the);2020;Coal;0
Suriname;2000;Coal;0
Suriname;2001;Coal;0
Suriname;2002;Coal;0
Suriname;2003;Coal;0
Suriname;2004;Coal;0
Suriname;2005;Coal;0
Suriname;2006;Coal;0
Suriname;2007;Coal;0
Suriname;2008;Coal;0
Suriname;2009;Coal;0
Suriname;2010;Coal;0
Suriname;2011;Coal;0
Suriname;2012;Coal;0
Suriname;2013;Coal;0
Suriname;2014;Coal;0
Suriname;2015;Coal;0
Suriname;2016;Coal;0
Suriname;2017;Coal;0
Suriname;2018;Coal;0
Suriname;2019;Coal;0
Suriname;2020;Coal;0
Sweden;2000;Coal;1.13
Sweden;2001;Coal;1.16
Sweden;2002;Coal;1.62
Sweden;2003;Coal;2.11
Sweden;2004;Coal;0.67
Sweden;2005;Coal;0.41
Sweden;2006;Coal;0.61
Sweden;2007;Coal;0.44
Sweden;2008;Coal;0.34
Sweden;2009;Coal;0.37
Sweden;2010;Coal;0.69
Sweden;2011;Coal;0.44
Sweden;2012;Coal;0.29
Sweden;2013;Coal;0.42
Sweden;2014;Coal;0.24
Sweden;2015;Coal;0.24
Sweden;2016;Coal;0.17
Sweden;2017;Coal;0.19
Sweden;2018;Coal;0.21
Sweden;2019;Coal;0.12
Sweden;2020;Coal;0
Sweden;2021;Coal;0
Switzerland;2000;Coal;0
Switzerland;2001;Coal;0
Switzerland;2002;Coal;0
Switzerland;2003;Coal;0
Switzerland;2004;Coal;0
Switzerland;2005;Coal;0
Switzerland;2006;Coal;0
Switzerland;2007;Coal;0
Switzerland;2008;Coal;0
Switzerland;2009;Coal;0
Switzerland;2010;Coal;0
Switzerland;2011;Coal;0
Switzerland;2012;Coal;0
Switzerland;2013;Coal;0
Switzerland;2014;Coal;0
Switzerland;2015;Coal;0
Switzerland;2016;Coal;0
Switzerland;2017;Coal;0
Switzerland;2018;Coal;0
Switzerland;2019;Coal;0
Switzerland;2020;Coal;0
Switzerland;2021;Coal;0
Syrian Arab Republic (the);2000;Coal;0
Syrian Arab Republic (the);2001;Coal;0
Syrian Arab Republic (the);2002;Coal;0
Syrian Arab Republic (the);2003;Coal;0
Syrian Arab Republic (the);2004;Coal;0
Syrian Arab Republic (the);2005;Coal;0
Syrian Arab Republic (the);2006;Coal;0
Syrian Arab Republic (the);2007;Coal;0
Syrian Arab Republic (the);2008;Coal;0
Syrian Arab Republic (the);2009;Coal;0
Syrian Arab Republic (the);2010;Coal;0.62
Syrian Arab Republic (the);2011;Coal;0.58
Syrian Arab Republic (the);2012;Coal;0.57
Syrian Arab Republic (the);2013;Coal;0.5
Syrian Arab Republic (the);2014;Coal;0.5
Syrian Arab Republic (the);2015;Coal;0.59
Syrian Arab Republic (the);2016;Coal;0.52
Syrian Arab Republic (the);2017;Coal;0.58
Syrian Arab Republic (the);2018;Coal;0.53
Syrian Arab Republic (the);2019;Coal;0.53
Syrian Arab Republic (the);2020;Coal;0.63
Taiwan (Province of China);2000;Coal;48.48
Taiwan (Province of China);2001;Coal;51.91
Taiwan (Province of China);2002;Coal;53.11
Taiwan (Province of China);2003;Coal;55.13
Taiwan (Province of China);2004;Coal;53.74
Taiwan (Province of China);2005;Coal;53.87
Taiwan (Province of China);2006;Coal;53.72
Taiwan (Province of China);2007;Coal;53.88
Taiwan (Province of China);2008;Coal;52.2
Taiwan (Province of China);2009;Coal;53.41
Taiwan (Province of China);2010;Coal;50.33
Taiwan (Province of China);2011;Coal;50.1
Taiwan (Province of China);2012;Coal;49.65
Taiwan (Province of China);2013;Coal;48.94
Taiwan (Province of China);2014;Coal;48.22
Taiwan (Province of China);2015;Coal;46.07
Taiwan (Province of China);2016;Coal;46.6
