sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Fossil;124.22
Spain;2001;Fossil;120.06
Spain;2002;Fossil;143.72
Spain;2003;Fossil;139.67
Spain;2004;Fossil;159.91
Spain;2005;Fossil;184.65
Spain;2006;Fossil;182.98
Spain;2007;Fossil;188.13
Spain;2008;Fossil;189.55
Spain;2009;Fossil;164.69
Spain;2010;Fossil;138.39
Spain;2011;Fossil;146.12
Spain;2012;Fossil;145.33
Spain;2013;Fossil;113.32
Spain;2014;Fossil;107.37
Spain;2015;Fossil;123.19
Spain;2016;Fossil;107.93
Spain;2017;Fossil;126.93
Spain;2018;Fossil;112.23
Spain;2019;Fossil;111.55
Spain;2020;Fossil;87.64
Spain;2021;Fossil;87.37
Sri Lanka;2000;Fossil;3.28
Sri Lanka;2001;Fossil;3.44
Sri Lanka;2002;Fossil;4.12
Sri Lanka;2003;Fossil;4.14
Sri Lanka;2004;Fossil;4.94
Sri Lanka;2005;Fossil;5.5
Sri Lanka;2006;Fossil;4.55
Sri Lanka;2007;Fossil;5.57
Sri Lanka;2008;Fossil;5.45
Sri Lanka;2009;Fossil;5.66
Sri Lanka;2010;Fossil;4.75
Sri Lanka;2011;Fossil;6.47
Sri Lanka;2012;Fossil;7.89
Sri Lanka;2013;Fossil;4.52
Sri Lanka;2014;Fossil;7.08
Sri Lanka;2015;Fossil;6.36
Sri Lanka;2016;Fossil;8.99
Sri Lanka;2017;Fossil;10.04
Sri Lanka;2018;Fossil;7.87
Sri Lanka;2019;Fossil;10.11
Sri Lanka;2020;Fossil;9.61
Sudan (the);2000;Fossil;1.3
Sudan (the);2001;Fossil;1.47
Sudan (the);2002;Fossil;1.68
Sudan (the);2003;Fossil;2.03
Sudan (the);2004;Fossil;2.2
Sudan (the);2005;Fossil;2.38
Sudan (the);2006;Fossil;2.94
Sudan (the);2007;Fossil;3.32
Sudan (the);2008;Fossil;3.73
Sudan (the);2009;Fossil;3.04
Sudan (the);2010;Fossil;1.28
Sudan (the);2011;Fossil;1.88
Sudan (the);2012;Fossil;2.47
Sudan (the);2013;Fossil;1.77
Sudan (the);2014;Fossil;2.17
Sudan (the);2015;Fossil;3.98
Sudan (the);2016;Fossil;5.44
Sudan (the);2017;Fossil;5.3
Sudan (the);2018;Fossil;5.64
Sudan (the);2019;Fossil;5.8
Sudan (the);2020;Fossil;5.52
