sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Gas;20.18
Spain;2001;Gas;23.36
Spain;2002;Gas;32.39
Spain;2003;Gas;39.37
Spain;2004;Gas;55.46
Spain;2005;Gas;79.01
Spain;2006;Gas;90.57
Spain;2007;Gas;94.8
Spain;2008;Gas;120.8
Spain;2009;Gas;107.75
Spain;2010;Gas;94.85
Spain;2011;Gas;85.51
Spain;2012;Gas;73.31
Spain;2013;Gas;57.54
Spain;2014;Gas;47.27
Spain;2015;Gas;52.5
Spain;2016;Gas;52.83
Spain;2017;Gas;64.04
Spain;2018;Gas;58
Spain;2019;Gas;83.71
Spain;2020;Gas;69.74
Spain;2021;Gas;69.76
Sri Lanka;2000;Gas;0
Sri Lanka;2001;Gas;0
Sri Lanka;2002;Gas;0
Sri Lanka;2003;Gas;0
Sri Lanka;2004;Gas;0
Sri Lanka;2005;Gas;0
Sri Lanka;2006;Gas;0
Sri Lanka;2007;Gas;0
Sri Lanka;2008;Gas;0
Sri Lanka;2009;Gas;0
Sri Lanka;2010;Gas;0
Sri Lanka;2011;Gas;0
Sri Lanka;2012;Gas;0
Sri Lanka;2013;Gas;0
Sri Lanka;2014;Gas;0
Sri Lanka;2015;Gas;0
Sri Lanka;2016;Gas;0
Sri Lanka;2017;Gas;0
Sri Lanka;2018;Gas;0
Sri Lanka;2019;Gas;0
Sri Lanka;2020;Gas;0
Sudan (the);2000;Gas;0.41
Sudan (the);2001;Gas;0.46
Sudan (the);2002;Gas;0.53
Sudan (the);2003;Gas;0.64
Sudan (the);2004;Gas;0.86
Sudan (the);2005;Gas;0.93
Sudan (the);2006;Gas;1.48
Sudan (the);2007;Gas;1.67
Sudan (the);2008;Gas;1.88
Sudan (the);2009;Gas;1.53
Sudan (the);2010;Gas;0.64
Sudan (the);2011;Gas;0.95
Sudan (the);2012;Gas;1.24
Sudan (the);2013;Gas;0.89
Sudan (the);2014;Gas;1.09
Sudan (the);2015;Gas;2
Sudan (the);2016;Gas;2.74
Sudan (the);2017;Gas;2.67
Sudan (the);2018;Gas;2.84
Sudan (the);2019;Gas;2.92
Sudan (the);2020;Gas;2.78
Suriname;2000;Gas;0
Suriname;2001;Gas;0
Suriname;2002;Gas;0
Suriname;2003;Gas;0
Suriname;2004;Gas;0
Suriname;2005;Gas;0
Suriname;2006;Gas;0
Suriname;2007;Gas;0
Suriname;2008;Gas;0
Suriname;2009;Gas;0
Suriname;2010;Gas;0
Suriname;2011;Gas;0
Suriname;2012;Gas;0
Suriname;2013;Gas;0
Suriname;2014;Gas;0
Suriname;2015;Gas;0
Suriname;2016;Gas;0
Suriname;2017;Gas;0
Suriname;2018;Gas;0
Suriname;2019;Gas;0
Suriname;2020;Gas;0
Sweden;2000;Gas;0.48
Sweden;2001;Gas;0.4
Sweden;2002;Gas;0.56
Sweden;2003;Gas;0.73
Sweden;2004;Gas;0.78
Sweden;2005;Gas;0.6
Sweden;2006;Gas;0.6
Sweden;2007;Gas;0.83
Sweden;2008;Gas;0.62
Sweden;2009;Gas;1.56
Sweden;2010;Gas;2.91
Sweden;2011;Gas;1.58
Sweden;2012;Gas;0.92
Sweden;2013;Gas;0.85
Sweden;2014;Gas;0.42
Sweden;2015;Gas;0.45
Sweden;2016;Gas;0.68
Sweden;2017;Gas;0.33
Sweden;2018;Gas;0.38
Sweden;2019;Gas;0.29
Sweden;2020;Gas;0.1
Sweden;2021;Gas;0.1
Switzerland;2000;Gas;0
Switzerland;2001;Gas;0
Switzerland;2002;Gas;0
Switzerland;2003;Gas;0
Switzerland;2004;Gas;0
Switzerland;2005;Gas;0
Switzerland;2006;Gas;0
Switzerland;2007;Gas;0
Switzerland;2008;Gas;0
Switzerland;2009;Gas;0
Switzerland;2010;Gas;0
Switzerland;2011;Gas;0
Switzerland;2012;Gas;0
Switzerland;2013;Gas;0
Switzerland;2014;Gas;0
Switzerland;2015;Gas;0
Switzerland;2016;Gas;0
Switzerland;2017;Gas;0
Switzerland;2018;Gas;0
Switzerland;2019;Gas;0
Switzerland;2020;Gas;0
Switzerland;2021;Gas;0
Syrian Arab Republic (the);2000;Gas;11.13
Syrian Arab Republic (the);2001;Gas;11.79
Syrian Arab Republic (the);2002;Gas;12.93
Syrian Arab Republic (the);2003;Gas;13.55
Syrian Arab Republic (the);2004;Gas;14.12
Syrian Arab Republic (the);2005;Gas;15.48
Syrian Arab Republic (the);2006;Gas;16.86
Syrian Arab Republic (the);2007;Gas;17.79
Syrian Arab Republic (the);2008;Gas;20.77
Syrian Arab Republic (the);2009;Gas;23.37
Syrian Arab Republic (the);2010;Gas;25.04
Syrian Arab Republic (the);2011;Gas;22.71
Syrian Arab Republic (the);2012;Gas;18.75
Syrian Arab Republic (the);2013;Gas;13.61
Syrian Arab Republic (the);2014;Gas;11.61
Syrian Arab Republic (the);2015;Gas;10.8
Syrian Arab Republic (the);2016;Gas;10.62
Syrian Arab Republic (the);2017;Gas;10.86
Syrian Arab Republic (the);2018;Gas;10.7
Syrian Arab Republic (the);2019;Gas;10.35
Syrian Arab Republic (the);2020;Gas;9.23
Taiwan (Province of China);2000;Gas;16.91
Taiwan (Province of China);2001;Gas;19.72
Taiwan (Province of China);2002;Gas;25.34
Taiwan (Province of China);2003;Gas;27.39
Taiwan (Province of China);2004;Gas;33.98
Taiwan (Province of China);2005;Gas;36.85
Taiwan (Province of China);2006;Gas;37.98
Taiwan (Province of China);2007;Gas;42.66
Taiwan (Province of China);2008;Gas;46.03
Taiwan (Province of China);2009;Gas;44.79
Taiwan (Province of China);2010;Gas;57.15
Taiwan (Province of China);2011;Gas;60.9
Taiwan (Province of China);2012;Gas;62.88
Taiwan (Province of China);2013;Gas;65.19
Taiwan (Province of China);2014;Gas;69.6
Taiwan (Province of China);2015;Gas;75.21
Taiwan (Province of China);2016;Gas;79.04
Taiwan (Province of China);2017;Gas;86.68
Taiwan (Province of China);2018;Gas;87.62
Taiwan (Province of China);2019;Gas;91.89
Taiwan (Province of China);2020;Gas;100.73
Taiwan (Province of China);2021;Gas;106.09
Tajikistan;2000;Gas;0.08
Tajikistan;2001;Gas;0.06
Tajikistan;2002;Gas;0.05
Tajikistan;2003;Gas;0.06
Tajikistan;2004;Gas;0.05
Tajikistan;2005;Gas;0.05
Tajikistan;2006;Gas;0.09
Tajikistan;2007;Gas;0.14
Tajikistan;2008;Gas;0.13
Tajikistan;2009;Gas;0.08
Tajikistan;2010;Gas;0.01
Tajikistan;2011;Gas;0.01
Tajikistan;2012;Gas;0.03
Tajikistan;2013;Gas;0.02
Tajikistan;2014;Gas;0.05
Tajikistan;2015;Gas;0.05
Tajikistan;2016;Gas;0.15
Tajikistan;2017;Gas;0.25
Tajikistan;2018;Gas;0.34
Tajikistan;2019;Gas;0.38
Tajikistan;2020;Gas;0.25
Tajikistan;2021;Gas;0.27
Thailand;2000;Gas;57.07
Thailand;2001;Gas;67.28
Thailand;2002;Gas;73.55
Thailand;2003;Gas;80.2
Thailand;2004;Gas;84.91
Thailand;2005;Gas;88.83
Thailand;2006;Gas;88.93
Thailand;2007;Gas;90.8
Thailand;2008;Gas;97.65
Thailand;2009;Gas;99.69
Thailand;2010;Gas;112.8
Thailand;2011;Gas;103.67
Thailand;2012;Gas;110.47
Thailand;2013;Gas;113.33
Thailand;2014;Gas;112.56
Thailand;2015;Gas;120.2
Thailand;2016;Gas;124.64
Thailand;2017;Gas;117.91
Thailand;2018;Gas;112.88
Thailand;2019;Gas;116.65
Thailand;2020;Gas;113.2
Thailand;2021;Gas;112.45
Togo;2000;Gas;0
Togo;2001;Gas;0
Togo;2002;Gas;0
Togo;2003;Gas;0
Togo;2004;Gas;0
Togo;2005;Gas;0
Togo;2006;Gas;0
Togo;2007;Gas;0
Togo;2008;Gas;0
Togo;2009;Gas;0
Togo;2010;Gas;0
Togo;2011;Gas;0
Togo;2012;Gas;0
Togo;2013;Gas;0
Togo;2014;Gas;0
Togo;2015;Gas;0
Togo;2016;Gas;0
Togo;2017;Gas;0
Togo;2018;Gas;0
Togo;2019;Gas;0
Togo;2020;Gas;0
Tonga;2000;Gas;0
Tonga;2001;Gas;0
Tonga;2002;Gas;0
Tonga;2003;Gas;0
Tonga;2004;Gas;0
Tonga;2005;Gas;0
Tonga;2006;Gas;0
Tonga;2007;Gas;0
Tonga;2008;Gas;0
Tonga;2009;Gas;0
Tonga;2010;Gas;0
Tonga;2011;Gas;0
Tonga;2012;Gas;0
Tonga;2013;Gas;0
Tonga;2014;Gas;0
Tonga;2015;Gas;0
Tonga;2016;Gas;0
Tonga;2017;Gas;0
Tonga;2018;Gas;0
Tonga;2019;Gas;0
Tonga;2020;Gas;0
Trinidad and Tobago;2000;Gas;4.77
Trinidad and Tobago;2001;Gas;4.94
Trinidad and Tobago;2002;Gas;4.94
Trinidad and Tobago;2003;Gas;5.63
Trinidad and Tobago;2004;Gas;5.62
Trinidad and Tobago;2005;Gas;6.17
Trinidad and Tobago;2006;Gas;6.27
Trinidad and Tobago;2007;Gas;6.79
Trinidad and Tobago;2008;Gas;6.86
Trinidad and Tobago;2009;Gas;6.96
Trinidad and Tobago;2010;Gas;7.53
Trinidad and Tobago;2011;Gas;7.94
Trinidad and Tobago;2012;Gas;7.31
Trinidad and Tobago;2013;Gas;7.61
Trinidad and Tobago;2014;Gas;7.55
Trinidad and Tobago;2015;Gas;7.66
Trinidad and Tobago;2016;Gas;7.54
Trinidad and Tobago;2017;Gas;7.47
Trinidad and Tobago;2018;Gas;7.39
Trinidad and Tobago;2019;Gas;7.36
Trinidad and Tobago;2020;Gas;6.99
Tunisia;2000;Gas;9.88
Tunisia;2001;Gas;10.64
Tunisia;2002;Gas;11.04
Tunisia;2003;Gas;11.48
Tunisia;2004;Gas;12.1
Tunisia;2005;Gas;12.79
Tunisia;2006;Gas;13.15
Tunisia;2007;Gas;12.83
Tunisia;2008;Gas;13.44
Tunisia;2009;Gas;14.17
Tunisia;2010;Gas;14.76
Tunisia;2011;Gas;15.17
Tunisia;2012;Gas;16.48
Tunisia;2013;Gas;16.64
Tunisia;2014;Gas;17.27
Tunisia;2015;Gas;17.77
Tunisia;2016;Gas;17.86
Tunisia;2017;Gas;18.57
Tunisia;2018;Gas;18.88
Tunisia;2019;Gas;19.73
Tunisia;2020;Gas;18.73
Tunisia;2021;Gas;18.93
Turkey;2000;Gas;46.54
Turkey;2001;Gas;49.71
Turkey;2002;Gas;52.53
Turkey;2003;Gas;63.54
Turkey;2004;Gas;62.27
Turkey;2005;Gas;73.48
Turkey;2006;Gas;80.69
Turkey;2007;Gas;95.03
Turkey;2008;Gas;98.68
Turkey;2009;Gas;96.1
Turkey;2010;Gas;98.14
Turkey;2011;Gas;104.05
Turkey;2012;Gas;104.5
Turkey;2013;Gas;105.12
Turkey;2014;Gas;120.58
Turkey;2015;Gas;99.22
Turkey;2016;Gas;89.23
Turkey;2017;Gas;110.49
Turkey;2018;Gas;92.48
Turkey;2019;Gas;57.29
Turkey;2020;Gas;70.93
Turkey;2021;Gas;110.2
Turkmenistan;2000;Gas;4.66
Turkmenistan;2001;Gas;5.02
Turkmenistan;2002;Gas;5.06
Turkmenistan;2003;Gas;5.24
Turkmenistan;2004;Gas;5.88
Turkmenistan;2005;Gas;6.32
Turkmenistan;2006;Gas;7.04
Turkmenistan;2007;Gas;7.97
Turkmenistan;2008;Gas;8.06
Turkmenistan;2009;Gas;8.57
Turkmenistan;2010;Gas;9.78
Turkmenistan;2011;Gas;10.11
Turkmenistan;2012;Gas;10.42
Turkmenistan;2013;Gas;11.07
Turkmenistan;2014;Gas;12.42
Turkmenistan;2015;Gas;14.26
Turkmenistan;2016;Gas;14.5
Turkmenistan;2017;Gas;14.5
Turkmenistan;2018;Gas;15.7
Turkmenistan;2019;Gas;15.7
Turkmenistan;2020;Gas;14.91
Turks and Caicos Islands (the);2000;Gas;0
Turks and Caicos Islands (the);2001;Gas;0
Turks and Caicos Islands (the);2002;Gas;0
Turks and Caicos Islands (the);2003;Gas;0
Turks and Caicos Islands (the);2004;Gas;0
Turks and Caicos Islands (the);2005;Gas;0
Turks and Caicos Islands (the);2006;Gas;0
Turks and Caicos Islands (the);2007;Gas;0
Turks and Caicos Islands (the);2008;Gas;0
Turks and Caicos Islands (the);2009;Gas;0
Turks and Caicos Islands (the);2010;Gas;0
Turks and Caicos Islands (the);2011;Gas;0
Turks and Caicos Islands (the);2012;Gas;0
Turks and Caicos Islands (the);2013;Gas;0
Turks and Caicos Islands (the);2014;Gas;0
Turks and Caicos Islands (the);2015;Gas;0
Turks and Caicos Islands (the);2016;Gas;0
Turks and Caicos Islands (the);2017;Gas;0
Turks and Caicos Islands (the);2018;Gas;0
Turks and Caicos Islands (the);2019;Gas;0
Turks and Caicos Islands (the);2020;Gas;0
Uganda;2000;Gas;0
Uganda;2001;Gas;0
Uganda;2002;Gas;0
Uganda;2003;Gas;0
Uganda;2004;Gas;0
Uganda;2005;Gas;0
Uganda;2006;Gas;0
Uganda;2007;Gas;0
Uganda;2008;Gas;0
Uganda;2009;Gas;0
Uganda;2010;Gas;0
Uganda;2011;Gas;0
Uganda;2012;Gas;0
Uganda;2013;Gas;0
Uganda;2014;Gas;0
Uganda;2015;Gas;0
Uganda;2016;Gas;0
Uganda;2017;Gas;0
Uganda;2018;Gas;0
Uganda;2019;Gas;0
Uganda;2020;Gas;0
Ukraine;2000;Gas;29.95
Ukraine;2001;Gas;30.36
Ukraine;2002;Gas;30.49
Ukraine;2003;Gas;34.24
Ukraine;2004;Gas;37.52
Ukraine;2005;Gas;34.16
Ukraine;2006;Gas;24.45
Ukraine;2007;Gas;22.45
Ukraine;2008;Gas;19.31
Ukraine;2009;Gas;11.69
Ukraine;2010;Gas;15.7
Ukraine;2011;Gas;18.45
Ukraine;2012;Gas;16.04
Ukraine;2013;Gas;13.98
Ukraine;2014;Gas;12.71
Ukraine;2015;Gas;10.1
Ukraine;2016;Gas;9.84
Ukraine;2017;Gas;7.39
Ukraine;2018;Gas;10.58
Ukraine;2019;Gas;11.93
Ukraine;2020;Gas;14.19
Ukraine;2021;Gas;9.76
United Arab Emirates;2000;Gas;37.54
United Arab Emirates;2001;Gas;40.58
United Arab Emirates;2002;Gas;44.04
United Arab Emirates;2003;Gas;46.48
United Arab Emirates;2004;Gas;49.27
United Arab Emirates;2005;Gas;57.05
United Arab Emirates;2006;Gas;62.76
United Arab Emirates;2007;Gas;74.03
United Arab Emirates;2008;Gas;77.06
United Arab Emirates;2009;Gas;82.9
United Arab Emirates;2010;Gas;88.31
United Arab Emirates;2011;Gas;93.19
United Arab Emirates;2012;Gas;99.83
United Arab Emirates;2013;Gas;103.33
United Arab Emirates;2014;Gas;109.26
United Arab Emirates;2015;Gas;119.45
United Arab Emirates;2016;Gas;121.53
United Arab Emirates;2017;Gas;125.79
United Arab Emirates;2018;Gas;126.61
United Arab Emirates;2019;Gas;125.85
United Arab Emirates;2020;Gas;119.49
United Kingdom;2000;Gas;148.08
United Kingdom;2001;Gas;141.9
United Kingdom;2002;Gas;152.28
United Kingdom;2003;Gas;148.88
United Kingdom;2004;Gas;157.07
United Kingdom;2005;Gas;152.64
United Kingdom;2006;Gas;140.83
United Kingdom;2007;Gas;165.79
United Kingdom;2008;Gas;176.22
United Kingdom;2009;Gas;166.5
