sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Gas;9.13
Spain;2001;Gas;10.02
Spain;2002;Gas;13.5
Spain;2003;Gas;15.3
Spain;2004;Gas;20.27
Spain;2005;Gas;27.78
Spain;2006;Gas;30.67
Spain;2007;Gas;31.44
Spain;2008;Gas;38.88
Spain;2009;Gas;36.96
Spain;2010;Gas;31.81
Spain;2011;Gas;29.35
Spain;2012;Gas;24.95
Spain;2013;Gas;20.44
Spain;2014;Gas;17.19
Spain;2015;Gas;18.92
Spain;2016;Gas;19.48
Spain;2017;Gas;23.47
Spain;2018;Gas;21.33
Spain;2019;Gas;30.9
Spain;2020;Gas;26.85
Spain;2021;Gas;26.01
Sri Lanka;2000;Gas;0
Sri Lanka;2001;Gas;0
Sri Lanka;2002;Gas;0
Sri Lanka;2003;Gas;0
Sri Lanka;2004;Gas;0
Sri Lanka;2005;Gas;0
Sri Lanka;2006;Gas;0
Sri Lanka;2007;Gas;0
Sri Lanka;2008;Gas;0
Sri Lanka;2009;Gas;0
Sri Lanka;2010;Gas;0
Sri Lanka;2011;Gas;0
Sri Lanka;2012;Gas;0
Sri Lanka;2013;Gas;0
Sri Lanka;2014;Gas;0
Sri Lanka;2015;Gas;0
Sri Lanka;2016;Gas;0
Sri Lanka;2017;Gas;0
Sri Lanka;2018;Gas;0
Sri Lanka;2019;Gas;0
Sri Lanka;2020;Gas;0
Sudan (the);2000;Gas;15.95
Sudan (the);2001;Gas;16.2
Sudan (the);2002;Gas;17.21
Sudan (the);2003;Gas;19.16
Sudan (the);2004;Gas;24.86
Sudan (the);2005;Gas;24.47
Sudan (the);2006;Gas;33.11
Sudan (the);2007;Gas;33.74
Sudan (the);2008;Gas;34.81
Sudan (the);2009;Gas;23.83
Sudan (the);2010;Gas;8.54
Sudan (the);2011;Gas;11.32
Sudan (the);2012;Gas;13.29
Sudan (the);2013;Gas;8.7
Sudan (the);2014;Gas;9.68
Sudan (the);2015;Gas;15.61
Sudan (the);2016;Gas;19.45
Sudan (the);2017;Gas;17.55
Sudan (the);2018;Gas;17.86
Sudan (the);2019;Gas;20.45
Sudan (the);2020;Gas;19.91
Suriname;2000;Gas;0
Suriname;2001;Gas;0
Suriname;2002;Gas;0
Suriname;2003;Gas;0
Suriname;2004;Gas;0
Suriname;2005;Gas;0
Suriname;2006;Gas;0
Suriname;2007;Gas;0
Suriname;2008;Gas;0
Suriname;2009;Gas;0
Suriname;2010;Gas;0
Suriname;2011;Gas;0
Suriname;2012;Gas;0
Suriname;2013;Gas;0
Suriname;2014;Gas;0
Suriname;2015;Gas;0
Suriname;2016;Gas;0
Suriname;2017;Gas;0
Suriname;2018;Gas;0
Suriname;2019;Gas;0
Suriname;2020;Gas;0
Sweden;2000;Gas;0.33
Sweden;2001;Gas;0.25
Sweden;2002;Gas;0.38
Sweden;2003;Gas;0.54
Sweden;2004;Gas;0.51
Sweden;2005;Gas;0.38
Sweden;2006;Gas;0.42
Sweden;2007;Gas;0.56
Sweden;2008;Gas;0.41
Sweden;2009;Gas;1.14
Sweden;2010;Gas;1.96
Sweden;2011;Gas;1.05
Sweden;2012;Gas;0.55
Sweden;2013;Gas;0.56
Sweden;2014;Gas;0.27
Sweden;2015;Gas;0.28
Sweden;2016;Gas;0.44
Sweden;2017;Gas;0.2
Sweden;2018;Gas;0.23
Sweden;2019;Gas;0.17
Sweden;2020;Gas;0.06
Sweden;2021;Gas;0.06
Switzerland;2000;Gas;0
Switzerland;2001;Gas;0
Switzerland;2002;Gas;0
Switzerland;2003;Gas;0
Switzerland;2004;Gas;0
Switzerland;2005;Gas;0
Switzerland;2006;Gas;0
Switzerland;2007;Gas;0
Switzerland;2008;Gas;0
Switzerland;2009;Gas;0
Switzerland;2010;Gas;0
Switzerland;2011;Gas;0
Switzerland;2012;Gas;0
Switzerland;2013;Gas;0
Switzerland;2014;Gas;0
Switzerland;2015;Gas;0
Switzerland;2016;Gas;0
Switzerland;2017;Gas;0
Switzerland;2018;Gas;0
Switzerland;2019;Gas;0
Switzerland;2020;Gas;0
Switzerland;2021;Gas;0
Syrian Arab Republic (the);2000;Gas;46.57
Syrian Arab Republic (the);2001;Gas;46.56
Syrian Arab Republic (the);2002;Gas;48.81
Syrian Arab Republic (the);2003;Gas;48.51
Syrian Arab Republic (the);2004;Gas;46.46
Syrian Arab Republic (the);2005;Gas;46.78
Syrian Arab Republic (the);2006;Gas;47.79
Syrian Arab Republic (the);2007;Gas;48.7
Syrian Arab Republic (the);2008;Gas;53.61
Syrian Arab Republic (the);2009;Gas;57.22
Syrian Arab Republic (the);2010;Gas;57.18
Syrian Arab Republic (the);2011;Gas;57.42
Syrian Arab Republic (the);2012;Gas;56.53
Syrian Arab Republic (the);2013;Gas;57.16
Syrian Arab Republic (the);2014;Gas;57.76
Syrian Arab Republic (the);2015;Gas;63.68
Syrian Arab Republic (the);2016;Gas;61.78
Syrian Arab Republic (the);2017;Gas;62.45
Syrian Arab Republic (the);2018;Gas;62.43
Syrian Arab Republic (the);2019;Gas;60.53
Syrian Arab Republic (the);2020;Gas;58.38
Taiwan (Province of China);2000;Gas;9.81
Taiwan (Province of China);2001;Gas;11.17
Taiwan (Province of China);2002;Gas;13.53
Taiwan (Province of China);2003;Gas;13.92
Taiwan (Province of China);2004;Gas;16.84
Taiwan (Province of China);2005;Gas;17.46
Taiwan (Province of China);2006;Gas;17.37
Taiwan (Province of China);2007;Gas;18.89
Taiwan (Province of China);2008;Gas;20.72
Taiwan (Province of China);2009;Gas;20.92
Taiwan (Province of China);2010;Gas;24.78
Taiwan (Province of China);2011;Gas;25.84
Taiwan (Province of China);2012;Gas;26.88
Taiwan (Province of China);2013;Gas;27.55
Taiwan (Province of China);2014;Gas;28.55
Taiwan (Province of China);2015;Gas;31.08
Taiwan (Province of China);2016;Gas;32.04
Taiwan (Province of China);2017;Gas;34.38
Taiwan (Province of China);2018;Gas;34.06
Taiwan (Province of China);2019;Gas;34.07
Taiwan (Province of China);2020;Gas;35.96
Taiwan (Province of China);2021;Gas;36.35
Tajikistan;2000;Gas;0.57
Tajikistan;2001;Gas;0.42
