sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Hydro;28.26
Spain;2001;Hydro;40.89
Spain;2002;Hydro;21.22
Spain;2003;Hydro;40.48
Spain;2004;Hydro;31.08
Spain;2005;Hydro;18.39
Spain;2006;Hydro;25.96
Spain;2007;Hydro;27.31
Spain;2008;Hydro;23.36
Spain;2009;Hydro;26.41
Spain;2010;Hydro;42.3
Spain;2011;Hydro;30.6
Spain;2012;Hydro;20.55
Spain;2013;Hydro;36.87
Spain;2014;Hydro;39.17
Spain;2015;Hydro;28.14
Spain;2016;Hydro;36.4
Spain;2017;Hydro;18.32
Spain;2018;Hydro;34.33
Spain;2019;Hydro;24.65
Spain;2020;Hydro;30.51
Spain;2021;Hydro;29.46
Sri Lanka;2000;Hydro;3.16
Sri Lanka;2001;Hydro;3.08
Sri Lanka;2002;Hydro;2.67
Sri Lanka;2003;Hydro;3.26
Sri Lanka;2004;Hydro;2.93
Sri Lanka;2005;Hydro;3.42
Sri Lanka;2006;Hydro;3.85
Sri Lanka;2007;Hydro;3.91
Sri Lanka;2008;Hydro;4.09
Sri Lanka;2009;Hydro;3.87
Sri Lanka;2010;Hydro;5.58
Sri Lanka;2011;Hydro;4.57
Sri Lanka;2012;Hydro;3.26
Sri Lanka;2013;Hydro;6.85
Sri Lanka;2014;Hydro;4.51
Sri Lanka;2015;Hydro;5.91
Sri Lanka;2016;Hydro;4.18
Sri Lanka;2017;Hydro;3.98
Sri Lanka;2018;Hydro;6.34
Sri Lanka;2019;Hydro;4.52
Sri Lanka;2020;Hydro;4.9
Sudan (the);2000;Hydro;1.17
Sudan (the);2001;Hydro;1.25
Sudan (the);2002;Hydro;1.27
Sudan (the);2003;Hydro;1.15
Sudan (the);2004;Hydro;1.1
Sudan (the);2005;Hydro;1.25
Sudan (the);2006;Hydro;1.36
Sudan (the);2007;Hydro;1.44
Sudan (the);2008;Hydro;1.45
Sudan (the);2009;Hydro;3.2
Sudan (the);2010;Hydro;6.14
Sudan (the);2011;Hydro;6.4
Sudan (the);2012;Hydro;6.55
Sudan (the);2013;Hydro;8.23
Sudan (the);2014;Hydro;8.82
Sudan (the);2015;Hydro;8.34
Sudan (the);2016;Hydro;7.97
Sudan (the);2017;Hydro;9.25
Sudan (the);2018;Hydro;9.56
Sudan (the);2019;Hydro;7.75
Sudan (the);2020;Hydro;7.75
Suriname;2000;Hydro;0.71
Suriname;2001;Hydro;0.73
Suriname;2002;Hydro;0.74
Suriname;2003;Hydro;0.75
Suriname;2004;Hydro;0.76
Suriname;2005;Hydro;0.82
Suriname;2006;Hydro;0.86
Suriname;2007;Hydro;0.86
Suriname;2008;Hydro;0.86
Suriname;2009;Hydro;0.86
Suriname;2010;Hydro;1.2
Suriname;2011;Hydro;1.03
Suriname;2012;Hydro;0.82
Suriname;2013;Hydro;0.83
Suriname;2014;Hydro;0.55
Suriname;2015;Hydro;0.47
Suriname;2016;Hydro;0.78
Suriname;2017;Hydro;0.92
Suriname;2018;Hydro;0.99
Suriname;2019;Hydro;1.36
Suriname;2020;Hydro;1.36
Sweden;2000;Hydro;78.58
Sweden;2001;Hydro;79.06
Sweden;2002;Hydro;66.36
Sweden;2003;Hydro;53.54
Sweden;2004;Hydro;60.12
Sweden;2005;Hydro;72.8
Sweden;2006;Hydro;61.72
Sweden;2007;Hydro;66.16
Sweden;2008;Hydro;69.07
Sweden;2009;Hydro;65.85
Sweden;2010;Hydro;66.4
Sweden;2011;Hydro;66.43
Sweden;2012;Hydro;78.93
Sweden;2013;Hydro;61.36
Sweden;2014;Hydro;63.76
Sweden;2015;Hydro;75.31
Sweden;2016;Hydro;62.02
Sweden;2017;Hydro;65.14
Sweden;2018;Hydro;62.21
Sweden;2019;Hydro;65.37
Sweden;2020;Hydro;72.39
Sweden;2021;Hydro;73.49
Switzerland;2000;Hydro;33.85
Switzerland;2001;Hydro;38.29
Switzerland;2002;Hydro;32.32
Switzerland;2003;Hydro;31.95
Switzerland;2004;Hydro;30.94
Switzerland;2005;Hydro;28.66
Switzerland;2006;Hydro;28.27
Switzerland;2007;Hydro;32.36
Switzerland;2008;Hydro;33.21
Switzerland;2009;Hydro;32.83
Switzerland;2010;Hydro;33.26
Switzerland;2011;Hydro;29.91
Switzerland;2012;Hydro;35.78
Switzerland;2013;Hydro;35.63
Switzerland;2014;Hydro;35.12
Switzerland;2015;Hydro;35.38
Switzerland;2016;Hydro;31.98
Switzerland;2017;Hydro;31.48
Switzerland;2018;Hydro;32.1
Switzerland;2019;Hydro;35.16
Switzerland;2020;Hydro;37.87
Switzerland;2021;Hydro;36.73
Syrian Arab Republic (the);2000;Hydro;3.2
Syrian Arab Republic (the);2001;Hydro;3.38
Syrian Arab Republic (the);2002;Hydro;2.43
Syrian Arab Republic (the);2003;Hydro;2.73
Syrian Arab Republic (the);2004;Hydro;4.13
Syrian Arab Republic (the);2005;Hydro;4.28
Syrian Arab Republic (the);2006;Hydro;3.91
Syrian Arab Republic (the);2007;Hydro;3.44
Syrian Arab Republic (the);2008;Hydro;2.84
Syrian Arab Republic (the);2009;Hydro;1.85
Syrian Arab Republic (the);2010;Hydro;2.57
Syrian Arab Republic (the);2011;Hydro;3.25
Syrian Arab Republic (the);2012;Hydro;3.2
Syrian Arab Republic (the);2013;Hydro;2.97
Syrian Arab Republic (the);2014;Hydro;2.32
Syrian Arab Republic (the);2015;Hydro;0.41
Syrian Arab Republic (the);2016;Hydro;0.92
Syrian Arab Republic (the);2017;Hydro;0.75
Syrian Arab Republic (the);2018;Hydro;0.75
Syrian Arab Republic (the);2019;Hydro;1.25
Syrian Arab Republic (the);2020;Hydro;0.75
Taiwan (Province of China);2000;Hydro;4.52
Taiwan (Province of China);2001;Hydro;5.05
Taiwan (Province of China);2002;Hydro;2.76
Taiwan (Province of China);2003;Hydro;3.01
Taiwan (Province of China);2004;Hydro;3.18
Taiwan (Province of China);2005;Hydro;3.95
Taiwan (Province of China);2006;Hydro;4.05
Taiwan (Province of China);2007;Hydro;4.37
