sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Hydro;12.79
Spain;2001;Hydro;17.54
Spain;2002;Hydro;8.84
Spain;2003;Hydro;15.73
Spain;2004;Hydro;11.36
Spain;2005;Hydro;6.46
Spain;2006;Hydro;8.79
Spain;2007;Hydro;9.06
Spain;2008;Hydro;7.52
Spain;2009;Hydro;9.06
Spain;2010;Hydro;14.19
Spain;2011;Hydro;10.5
Spain;2012;Hydro;7
Spain;2013;Hydro;13.1
Spain;2014;Hydro;14.25
Spain;2015;Hydro;10.14
Spain;2016;Hydro;13.42
Spain;2017;Hydro;6.71
Spain;2018;Hydro;12.63
Spain;2019;Hydro;9.1
Spain;2020;Hydro;11.75
Spain;2021;Hydro;10.98
Sri Lanka;2000;Hydro;48.99
Sri Lanka;2001;Hydro;47.17
Sri Lanka;2002;Hydro;39.26
Sri Lanka;2003;Hydro;43.99
Sri Lanka;2004;Hydro;37.18
Sri Lanka;2005;Hydro;38.3
Sri Lanka;2006;Hydro;45.78
Sri Lanka;2007;Hydro;41.11
Sri Lanka;2008;Hydro;42.52
Sri Lanka;2009;Hydro;40.27
Sri Lanka;2010;Hydro;53.45
Sri Lanka;2011;Hydro;40.84
Sri Lanka;2012;Hydro;28.67
Sri Lanka;2013;Hydro;58.75
Sri Lanka;2014;Hydro;37.71
Sri Lanka;2015;Hydro;46.5
Sri Lanka;2016;Hydro;30.6
Sri Lanka;2017;Hydro;27.04
Sri Lanka;2018;Hydro;42.69
Sri Lanka;2019;Hydro;29.48
Sri Lanka;2020;Hydro;32.22
Sudan (the);2000;Hydro;45.53
Sudan (the);2001;Hydro;44.01
Sudan (the);2002;Hydro;41.23
Sudan (the);2003;Hydro;34.43
Sudan (the);2004;Hydro;31.79
Sudan (the);2005;Hydro;32.89
Sudan (the);2006;Hydro;30.43
Sudan (the);2007;Hydro;29.09
Sudan (the);2008;Hydro;26.85
Sudan (the);2009;Hydro;49.84
Sudan (the);2010;Hydro;81.98
Sudan (the);2011;Hydro;76.28
Sudan (the);2012;Hydro;70.2
Sudan (the);2013;Hydro;80.45
Sudan (the);2014;Hydro;78.33
Sudan (the);2015;Hydro;65.11
Sudan (the);2016;Hydro;56.56
Sudan (the);2017;Hydro;60.82
Sudan (the);2018;Hydro;60.13
Sudan (the);2019;Hydro;54.27
Sudan (the);2020;Hydro;55.52
Suriname;2000;Hydro;50.71
Suriname;2001;Hydro;51.41
Suriname;2002;Hydro;51.75
Suriname;2003;Hydro;52.08
Suriname;2004;Hydro;52.41
Suriname;2005;Hydro;53.95
Suriname;2006;Hydro;55.13
Suriname;2007;Hydro;55.13
Suriname;2008;Hydro;55.13
Suriname;2009;Hydro;55.13
Suriname;2010;Hydro;71.43
Suriname;2011;Hydro;54.5
Suriname;2012;Hydro;43.39
Suriname;2013;Hydro;43.23
Suriname;2014;Hydro;28.5
Suriname;2015;Hydro;24.1
Suriname;2016;Hydro;40.63
Suriname;2017;Hydro;48.94
Suriname;2018;Hydro;52.38
Suriname;2019;Hydro;57.63
Suriname;2020;Hydro;58.87
Sweden;2000;Hydro;54.11
Sweden;2001;Hydro;48.92
Sweden;2002;Hydro;45.24
Sweden;2003;Hydro;39.55
Sweden;2004;Hydro;39.63
Sweden;2005;Hydro;45.97
Sweden;2006;Hydro;43.08
Sweden;2007;Hydro;44.46
Sweden;2008;Hydro;46.08
Sweden;2009;Hydro;48.21
Sweden;2010;Hydro;44.73
Sweden;2011;Hydro;44.2
Sweden;2012;Hydro;47.43
Sweden;2013;Hydro;40.1
Sweden;2014;Hydro;41.52
Sweden;2015;Hydro;46.49
Sweden;2016;Hydro;39.78
Sweden;2017;Hydro;39.66
Sweden;2018;Hydro;38.08
Sweden;2019;Hydro;38.81
Sweden;2020;Hydro;44.2
Sweden;2021;Hydro;42.96
Switzerland;2000;Hydro;54.82
Switzerland;2001;Hydro;57.47
Switzerland;2002;Hydro;52.87
Switzerland;2003;Hydro;52.31
Switzerland;2004;Hydro;51.87
Switzerland;2005;Hydro;53.14
Switzerland;2006;Hydro;48.8
Switzerland;2007;Hydro;52.14
Switzerland;2008;Hydro;52.95
Switzerland;2009;Hydro;52.7
Switzerland;2010;Hydro;53.49
Switzerland;2011;Hydro;50.42
Switzerland;2012;Hydro;55.68
Switzerland;2013;Hydro;55.06
Switzerland;2014;Hydro;53.18
Switzerland;2015;Hydro;56.87
Switzerland;2016;Hydro;55.57
Switzerland;2017;Hydro;55.52
Switzerland;2018;Hydro;51.48
Switzerland;2019;Hydro;52.8
Switzerland;2020;Hydro;56.33
Switzerland;2021;Hydro;59.68
Syrian Arab Republic (the);2000;Hydro;13.39
Syrian Arab Republic (the);2001;Hydro;13.35
Syrian Arab Republic (the);2002;Hydro;9.17
Syrian Arab Republic (the);2003;Hydro;9.77
Syrian Arab Republic (the);2004;Hydro;13.59
Syrian Arab Republic (the);2005;Hydro;12.93
Syrian Arab Republic (the);2006;Hydro;11.08
Syrian Arab Republic (the);2007;Hydro;9.42
Syrian Arab Republic (the);2008;Hydro;7.33
Syrian Arab Republic (the);2009;Hydro;4.53
