sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Nuclear;62.21
Spain;2001;Nuclear;63.71
Spain;2002;Nuclear;63.02
Spain;2003;Nuclear;61.88
Spain;2004;Nuclear;63.61
Spain;2005;Nuclear;57.54
Spain;2006;Nuclear;60.13
Spain;2007;Nuclear;55.1
Spain;2008;Nuclear;58.97
Spain;2009;Nuclear;52.76
Spain;2010;Nuclear;61.99
Spain;2011;Nuclear;57.72
Spain;2012;Nuclear;61.47
Spain;2013;Nuclear;56.73
Spain;2014;Nuclear;57.31
Spain;2015;Nuclear;57.2
Spain;2016;Nuclear;58.63
Spain;2017;Nuclear;58.04
Spain;2018;Nuclear;55.77
Spain;2019;Nuclear;58.35
Spain;2020;Nuclear;58.3
Spain;2021;Nuclear;56.68
Sri Lanka;2000;Nuclear;0
Sri Lanka;2001;Nuclear;0
Sri Lanka;2002;Nuclear;0
Sri Lanka;2003;Nuclear;0
Sri Lanka;2004;Nuclear;0
Sri Lanka;2005;Nuclear;0
Sri Lanka;2006;Nuclear;0
Sri Lanka;2007;Nuclear;0
Sri Lanka;2008;Nuclear;0
Sri Lanka;2009;Nuclear;0
Sri Lanka;2010;Nuclear;0
Sri Lanka;2011;Nuclear;0
Sri Lanka;2012;Nuclear;0
Sri Lanka;2013;Nuclear;0
Sri Lanka;2014;Nuclear;0
Sri Lanka;2015;Nuclear;0
Sri Lanka;2016;Nuclear;0
Sri Lanka;2017;Nuclear;0
Sri Lanka;2018;Nuclear;0
Sri Lanka;2019;Nuclear;0
Sri Lanka;2020;Nuclear;0
Sudan (the);2000;Nuclear;0
Sudan (the);2001;Nuclear;0
Sudan (the);2002;Nuclear;0
Sudan (the);2003;Nuclear;0
Sudan (the);2004;Nuclear;0
Sudan (the);2005;Nuclear;0
Sudan (the);2006;Nuclear;0
Sudan (the);2007;Nuclear;0
Sudan (the);2008;Nuclear;0
Sudan (the);2009;Nuclear;0
Sudan (the);2010;Nuclear;0
Sudan (the);2011;Nuclear;0
Sudan (the);2012;Nuclear;0
Sudan (the);2013;Nuclear;0
Sudan (the);2014;Nuclear;0
Sudan (the);2015;Nuclear;0
Sudan (the);2016;Nuclear;0
Sudan (the);2017;Nuclear;0
Sudan (the);2018;Nuclear;0
Sudan (the);2019;Nuclear;0
Sudan (the);2020;Nuclear;0
Suriname;2000;Nuclear;0
Suriname;2001;Nuclear;0
Suriname;2002;Nuclear;0
Suriname;2003;Nuclear;0
Suriname;2004;Nuclear;0
Suriname;2005;Nuclear;0
Suriname;2006;Nuclear;0
Suriname;2007;Nuclear;0
Suriname;2008;Nuclear;0
Suriname;2009;Nuclear;0
Suriname;2010;Nuclear;0
Suriname;2011;Nuclear;0
Suriname;2012;Nuclear;0
Suriname;2013;Nuclear;0
