sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Nuclear;28.16
Spain;2001;Nuclear;27.34
Spain;2002;Nuclear;26.27
Spain;2003;Nuclear;24.05
Spain;2004;Nuclear;23.25
Spain;2005;Nuclear;20.23
Spain;2006;Nuclear;20.37
Spain;2007;Nuclear;18.27
Spain;2008;Nuclear;18.98
Spain;2009;Nuclear;18.1
Spain;2010;Nuclear;20.79
Spain;2011;Nuclear;19.81
Spain;2012;Nuclear;20.92
Spain;2013;Nuclear;20.15
Spain;2014;Nuclear;20.84
Spain;2015;Nuclear;20.61
Spain;2016;Nuclear;21.62
Spain;2017;Nuclear;21.27
Spain;2018;Nuclear;20.51
Spain;2019;Nuclear;21.54
Spain;2020;Nuclear;22.45
Spain;2021;Nuclear;21.13
Sri Lanka;2000;Nuclear;0
Sri Lanka;2001;Nuclear;0
Sri Lanka;2002;Nuclear;0
Sri Lanka;2003;Nuclear;0
Sri Lanka;2004;Nuclear;0
Sri Lanka;2005;Nuclear;0
Sri Lanka;2006;Nuclear;0
Sri Lanka;2007;Nuclear;0
Sri Lanka;2008;Nuclear;0
Sri Lanka;2009;Nuclear;0
Sri Lanka;2010;Nuclear;0
Sri Lanka;2011;Nuclear;0
Sri Lanka;2012;Nuclear;0
Sri Lanka;2013;Nuclear;0
Sri Lanka;2014;Nuclear;0
Sri Lanka;2015;Nuclear;0
Sri Lanka;2016;Nuclear;0
Sri Lanka;2017;Nuclear;0
Sri Lanka;2018;Nuclear;0
Sri Lanka;2019;Nuclear;0
Sri Lanka;2020;Nuclear;0
Sudan (the);2000;Nuclear;0
Sudan (the);2001;Nuclear;0
Sudan (the);2002;Nuclear;0
Sudan (the);2003;Nuclear;0
Sudan (the);2004;Nuclear;0
Sudan (the);2005;Nuclear;0
Sudan (the);2006;Nuclear;0
Sudan (the);2007;Nuclear;0
Sudan (the);2008;Nuclear;0
Sudan (the);2009;Nuclear;0
Sudan (the);2010;Nuclear;0
Sudan (the);2011;Nuclear;0
Sudan (the);2012;Nuclear;0
Sudan (the);2013;Nuclear;0
Sudan (the);2014;Nuclear;0
Sudan (the);2015;Nuclear;0
Sudan (the);2016;Nuclear;0
Sudan (the);2017;Nuclear;0
Sudan (the);2018;Nuclear;0
Sudan (the);2019;Nuclear;0
Sudan (the);2020;Nuclear;0
Suriname;2000;Nuclear;0
Suriname;2001;Nuclear;0
Suriname;2002;Nuclear;0
Suriname;2003;Nuclear;0
Suriname;2004;Nuclear;0
Suriname;2005;Nuclear;0
Suriname;2006;Nuclear;0
Suriname;2007;Nuclear;0
Suriname;2008;Nuclear;0
Suriname;2009;Nuclear;0
Suriname;2010;Nuclear;0
Suriname;2011;Nuclear;0
Suriname;2012;Nuclear;0
Suriname;2013;Nuclear;0
Suriname;2014;Nuclear;0
Suriname;2015;Nuclear;0
Suriname;2016;Nuclear;0
Suriname;2017;Nuclear;0
Suriname;2018;Nuclear;0
Suriname;2019;Nuclear;0
Suriname;2020;Nuclear;0
Sweden;2000;Nuclear;39.47
Sweden;2001;Nuclear;44.62
Sweden;2002;Nuclear;46.43
Sweden;2003;Nuclear;49.8
Sweden;2004;Nuclear;51.08
Sweden;2005;Nuclear;45.7
Sweden;2006;Nuclear;46.75
Sweden;2007;Nuclear;45
Sweden;2008;Nuclear;42.62
Sweden;2009;Nuclear;38.19
Sweden;2010;Nuclear;38.96
Sweden;2011;Nuclear;40.24
Sweden;2012;Nuclear;38.48
Sweden;2013;Nuclear;43.43
Sweden;2014;Nuclear;42.25
Sweden;2015;Nuclear;34.78
Sweden;2016;Nuclear;40.48
Sweden;2017;Nuclear;40
Sweden;2018;Nuclear;41.96
Sweden;2019;Nuclear;39.26
Sweden;2020;Nuclear;30.04
Sweden;2021;Nuclear;31.24
Switzerland;2000;Nuclear;40.68
Switzerland;2001;Nuclear;38.23
Switzerland;2002;Nuclear;42.32
Switzerland;2003;Nuclear;42.75
Switzerland;2004;Nuclear;42.93
Switzerland;2005;Nuclear;41
Switzerland;2006;Nuclear;45.52
Switzerland;2007;Nuclear;42.68
Switzerland;2008;Nuclear;41.88
Switzerland;2009;Nuclear;42.17
Switzerland;2010;Nuclear;40.75
Switzerland;2011;Nuclear;43.31
Switzerland;2012;Nuclear;38.03
Switzerland;2013;Nuclear;38.43
Switzerland;2014;Nuclear;40.08
Switzerland;2015;Nuclear;35.62
Switzerland;2016;Nuclear;35.27
Switzerland;2017;Nuclear;34.55
Switzerland;2018;Nuclear;39.29
Switzerland;2019;Nuclear;38.1
Switzerland;2020;Nuclear;34.2
Switzerland;2021;Nuclear;29.8
Syrian Arab Republic (the);2000;Nuclear;0
Syrian Arab Republic (the);2001;Nuclear;0
Syrian Arab Republic (the);2002;Nuclear;0
Syrian Arab Republic (the);2003;Nuclear;0
Syrian Arab Republic (the);2004;Nuclear;0
Syrian Arab Republic (the);2005;Nuclear;0
Syrian Arab Republic (the);2006;Nuclear;0
Syrian Arab Republic (the);2007;Nuclear;0
Syrian Arab Republic (the);2008;Nuclear;0
Syrian Arab Republic (the);2009;Nuclear;0
Syrian Arab Republic (the);2010;Nuclear;0
Syrian Arab Republic (the);2011;Nuclear;0
Syrian Arab Republic (the);2012;Nuclear;0
Syrian Arab Republic (the);2013;Nuclear;0
Syrian Arab Republic (the);2014;Nuclear;0
Syrian Arab Republic (the);2015;Nuclear;0
Syrian Arab Republic (the);2016;Nuclear;0
Syrian Arab Republic (the);2017;Nuclear;0
Syrian Arab Republic (the);2018;Nuclear;0
Syrian Arab Republic (the);2019;Nuclear;0
Syrian Arab Republic (the);2020;Nuclear;0
Taiwan (Province of China);2000;Nuclear;21.46
Taiwan (Province of China);2001;Nuclear;19.31
Taiwan (Province of China);2002;Nuclear;20.29
Taiwan (Province of China);2003;Nuclear;18.99
Taiwan (Province of China);2004;Nuclear;18.81
Taiwan (Province of China);2005;Nuclear;18.19
Taiwan (Province of China);2006;Nuclear;17.52
Taiwan (Province of China);2007;Nuclear;17.25
Taiwan (Province of China);2008;Nuclear;17.69
Taiwan (Province of China);2009;Nuclear;18.63
Taiwan (Province of China);2010;Nuclear;17.3
Taiwan (Province of China);2011;Nuclear;17.13
Taiwan (Province of China);2012;Nuclear;16.55
Taiwan (Province of China);2013;Nuclear;16.94
Taiwan (Province of China);2014;Nuclear;16.74
Taiwan (Province of China);2015;Nuclear;14.52
Taiwan (Province of China);2016;Nuclear;12.35
Taiwan (Province of China);2017;Nuclear;8.55
Taiwan (Province of China);2018;Nuclear;10.36
Taiwan (Province of China);2019;Nuclear;11.55
Taiwan (Province of China);2020;Nuclear;11.22
Taiwan (Province of China);2021;Nuclear;9.61
Tajikistan;2000;Nuclear;0
Tajikistan;2001;Nuclear;0
Tajikistan;2002;Nuclear;0
Tajikistan;2003;Nuclear;0
Tajikistan;2004;Nuclear;0
Tajikistan;2005;Nuclear;0
