sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Other Fossil;24.95
Spain;2001;Other Fossil;26.43
Spain;2002;Other Fossil;30.15
Spain;2003;Other Fossil;25.57
Spain;2004;Other Fossil;25.35
Spain;2005;Other Fossil;26.58
Spain;2006;Other Fossil;25.67
Spain;2007;Other Fossil;20.53
Spain;2008;Other Fossil;20.04
Spain;2009;Other Fossil;21.03
Spain;2010;Other Fossil;18.21
Spain;2011;Other Fossil;16.63
Spain;2012;Other Fossil;16.95
Spain;2013;Other Fossil;15.84
Spain;2014;Other Fossil;16.29
Spain;2015;Other Fossil;19.32
Spain;2016;Other Fossil;18.67
Spain;2017;Other Fossil;17.76
Spain;2018;Other Fossil;16.89
Spain;2019;Other Fossil;14.98
Spain;2020;Other Fossil;12.38
Spain;2021;Other Fossil;12.1
Sri Lanka;2000;Other Fossil;3.28
Sri Lanka;2001;Other Fossil;3.44
Sri Lanka;2002;Other Fossil;4.12
Sri Lanka;2003;Other Fossil;4.14
Sri Lanka;2004;Other Fossil;4.94
Sri Lanka;2005;Other Fossil;5.5
Sri Lanka;2006;Other Fossil;4.55
Sri Lanka;2007;Other Fossil;5.57
Sri Lanka;2008;Other Fossil;5.45
Sri Lanka;2009;Other Fossil;5.66
Sri Lanka;2010;Other Fossil;4.75
Sri Lanka;2011;Other Fossil;5.32
Sri Lanka;2012;Other Fossil;6.49
Sri Lanka;2013;Other Fossil;3.66
Sri Lanka;2014;Other Fossil;4.2
Sri Lanka;2015;Other Fossil;3.62
Sri Lanka;2016;Other Fossil;5.07
Sri Lanka;2017;Other Fossil;5.66
Sri Lanka;2018;Other Fossil;4.39
Sri Lanka;2019;Other Fossil;5.94
Sri Lanka;2020;Other Fossil;5.62
Sudan (the);2000;Other Fossil;0.89
Sudan (the);2001;Other Fossil;1.01
Sudan (the);2002;Other Fossil;1.15
Sudan (the);2003;Other Fossil;1.39
Sudan (the);2004;Other Fossil;1.34
Sudan (the);2005;Other Fossil;1.45
Sudan (the);2006;Other Fossil;1.46
Sudan (the);2007;Other Fossil;1.65
Sudan (the);2008;Other Fossil;1.85
Sudan (the);2009;Other Fossil;1.51
Sudan (the);2010;Other Fossil;0.64
Sudan (the);2011;Other Fossil;0.93
Sudan (the);2012;Other Fossil;1.23
Sudan (the);2013;Other Fossil;0.88
Sudan (the);2014;Other Fossil;1.08
Sudan (the);2015;Other Fossil;1.98
Sudan (the);2016;Other Fossil;2.7
Sudan (the);2017;Other Fossil;2.63
Sudan (the);2018;Other Fossil;2.8
Sudan (the);2019;Other Fossil;2.88
Sudan (the);2020;Other Fossil;2.74
Suriname;2000;Other Fossil;0.69
Suriname;2001;Other Fossil;0.69
Suriname;2002;Other Fossil;0.69
Suriname;2003;Other Fossil;0.69
Suriname;2004;Other Fossil;0.69
Suriname;2005;Other Fossil;0.7
Suriname;2006;Other Fossil;0.7
Suriname;2007;Other Fossil;0.7
Suriname;2008;Other Fossil;0.7
Suriname;2009;Other Fossil;0.7
Suriname;2010;Other Fossil;0.48
Suriname;2011;Other Fossil;0.86
Suriname;2012;Other Fossil;1.07
Suriname;2013;Other Fossil;1.09
Suriname;2014;Other Fossil;1.37
Suriname;2015;Other Fossil;1.46
Suriname;2016;Other Fossil;1.12
Suriname;2017;Other Fossil;0.95
Suriname;2018;Other Fossil;0.89
Suriname;2019;Other Fossil;0.99
Suriname;2020;Other Fossil;0.94
Sweden;2000;Other Fossil;2.65
Sweden;2001;Other Fossil;3.89
Sweden;2002;Other Fossil;4.51
Sweden;2003;Other Fossil;5.66
Sweden;2004;Other Fossil;4.23
Sweden;2005;Other Fossil;3.51
Sweden;2006;Other Fossil;3.76
Sweden;2007;Other Fossil;2.94
Sweden;2008;Other Fossil;3.47
Sweden;2009;Other Fossil;2.55
Sweden;2010;Other Fossil;4.6
Sweden;2011;Other Fossil;3.48
Sweden;2012;Other Fossil;2.69
Sweden;2013;Other Fossil;2.38
Sweden;2014;Other Fossil;2.14
Sweden;2015;Other Fossil;2.31
Sweden;2016;Other Fossil;2.72
Sweden;2017;Other Fossil;2.82
Sweden;2018;Other Fossil;2.94
Sweden;2019;Other Fossil;2.85
Sweden;2020;Other Fossil;2.34
Sweden;2021;Other Fossil;2.34
Switzerland;2000;Other Fossil;2.63
Switzerland;2001;Other Fossil;2.72
Switzerland;2002;Other Fossil;2.79
Switzerland;2003;Other Fossil;2.86
Switzerland;2004;Other Fossil;2.92
Switzerland;2005;Other Fossil;2.97
Switzerland;2006;Other Fossil;3.1
Switzerland;2007;Other Fossil;3.01
Switzerland;2008;Other Fossil;3.04
Switzerland;2009;Other Fossil;3
Switzerland;2010;Other Fossil;3.31
Switzerland;2011;Other Fossil;3.33
Switzerland;2012;Other Fossil;3.5
Switzerland;2013;Other Fossil;3.47
Switzerland;2014;Other Fossil;3.37
Switzerland;2015;Other Fossil;3.32
Switzerland;2016;Other Fossil;3.68
Switzerland;2017;Other Fossil;3.66
Switzerland;2018;Other Fossil;3.54
Switzerland;2019;Other Fossil;3.58
Switzerland;2020;Other Fossil;3.54
Switzerland;2021;Other Fossil;3.54
Syrian Arab Republic (the);2000;Other Fossil;9.55
Syrian Arab Republic (the);2001;Other Fossil;10.13
Syrian Arab Republic (the);2002;Other Fossil;11.11
Syrian Arab Republic (the);2003;Other Fossil;11.63
Syrian Arab Republic (the);2004;Other Fossil;12.12
Syrian Arab Republic (the);2005;Other Fossil;13.3
Syrian Arab Republic (the);2006;Other Fossil;14.48
Syrian Arab Republic (the);2007;Other Fossil;15.27
Syrian Arab Republic (the);2008;Other Fossil;15.1
Syrian Arab Republic (the);2009;Other Fossil;15.59
Syrian Arab Republic (the);2010;Other Fossil;15.88
Syrian Arab Republic (the);2011;Other Fossil;13.33
Syrian Arab Republic (the);2012;Other Fossil;11.01
Syrian Arab Republic (the);2013;Other Fossil;7.1
Syrian Arab Republic (the);2014;Other Fossil;6.06
Syrian Arab Republic (the);2015;Other Fossil;5.64
Syrian Arab Republic (the);2016;Other Fossil;5.55
Syrian Arab Republic (the);2017;Other Fossil;5.67
Syrian Arab Republic (the);2018;Other Fossil;5.59
Syrian Arab Republic (the);2019;Other Fossil;5.4
Syrian Arab Republic (the);2020;Other Fossil;5.72
Taiwan (Province of China);2000;Other Fossil;29.4
Taiwan (Province of China);2001;Other Fossil;24.73
Taiwan (Province of China);2002;Other Fossil;20.04
Taiwan (Province of China);2003;Other Fossil;18.77
Taiwan (Province of China);2004;Other Fossil;16.45
Taiwan (Province of China);2005;Other Fossil;16.32
Taiwan (Province of China);2006;Other Fossil;18.83
Taiwan (Province of China);2007;Other Fossil;15.96
Taiwan (Province of China);2008;Other Fossil;14.28
Taiwan (Province of China);2009;Other Fossil;8.88
Taiwan (Province of China);2010;Other Fossil;10.57
Taiwan (Province of China);2011;Other Fossil;9.01
Taiwan (Province of China);2012;Other Fossil;7.22
Taiwan (Province of China);2013;Other Fossil;6.45
Taiwan (Province of China);2014;Other Fossil;7.65
Taiwan (Province of China);2015;Other Fossil;11.43
Taiwan (Province of China);2016;Other Fossil;11.25
Taiwan (Province of China);2017;Other Fossil;12.02
Taiwan (Province of China);2018;Other Fossil;7.72
Taiwan (Province of China);2019;Other Fossil;5.74
Taiwan (Province of China);2020;Other Fossil;4.28
Taiwan (Province of China);2021;Other Fossil;5.9
Tajikistan;2000;Other Fossil;0.13
Tajikistan;2001;Other Fossil;0.1
Tajikistan;2002;Other Fossil;0.08
Tajikistan;2003;Other Fossil;0.1
Tajikistan;2004;Other Fossil;0.09
Tajikistan;2005;Other Fossil;0.08
Tajikistan;2006;Other Fossil;0.15
Tajikistan;2007;Other Fossil;0.24
Tajikistan;2008;Other Fossil;0.22
Tajikistan;2009;Other Fossil;0.14
Tajikistan;2010;Other Fossil;0.02
Tajikistan;2011;Other Fossil;0.02
Tajikistan;2012;Other Fossil;0.04
Tajikistan;2013;Other Fossil;0.03
Tajikistan;2014;Other Fossil;0.09
Tajikistan;2015;Other Fossil;0.09
Tajikistan;2016;Other Fossil;0.25
Tajikistan;2017;Other Fossil;0.41
Tajikistan;2018;Other Fossil;0.56
Tajikistan;2019;Other Fossil;0.63
Tajikistan;2020;Other Fossil;0.83
Tajikistan;2021;Other Fossil;0.84
Thailand;2000;Other Fossil;9.08
Thailand;2001;Other Fossil;2.52
Thailand;2002;Other Fossil;1.98
Thailand;2003;Other Fossil;2.35
Thailand;2004;Other Fossil;5.36
Thailand;2005;Other Fossil;7.35
Thailand;2006;Other Fossil;7.43
Thailand;2007;Other Fossil;2.77
Thailand;2008;Other Fossil;0.95
Thailand;2009;Other Fossil;0.46
Thailand;2010;Other Fossil;0.57
Thailand;2011;Other Fossil;1.27
Thailand;2012;Other Fossil;1.26
Thailand;2013;Other Fossil;1.35
Thailand;2014;Other Fossil;1.56
Thailand;2015;Other Fossil;0.86
Thailand;2016;Other Fossil;0.49
Thailand;2017;Other Fossil;0.32
Thailand;2018;Other Fossil;0.17
Thailand;2019;Other Fossil;1.08
Thailand;2020;Other Fossil;0.72
Thailand;2021;Other Fossil;0.69
Togo;2000;Other Fossil;0.07
Togo;2001;Other Fossil;0.07
Togo;2002;Other Fossil;0.06
Togo;2003;Other Fossil;0.05
Togo;2004;Other Fossil;0.1
Togo;2005;Other Fossil;0.11
Togo;2006;Other Fossil;0.12
Togo;2007;Other Fossil;0.09
Togo;2008;Other Fossil;0.03
Togo;2009;Other Fossil;0.03
Togo;2010;Other Fossil;0.08
Togo;2011;Other Fossil;0.02
Togo;2012;Other Fossil;0.02
Togo;2013;Other Fossil;0.06
Togo;2014;Other Fossil;0.08
Togo;2015;Other Fossil;0.31
Togo;2016;Other Fossil;0.23
Togo;2017;Other Fossil;0.56
Togo;2018;Other Fossil;0.36
Togo;2019;Other Fossil;0.45
Togo;2020;Other Fossil;0.43
Tonga;2000;Other Fossil;0.03
Tonga;2001;Other Fossil;0.04
Tonga;2002;Other Fossil;0.04
Tonga;2003;Other Fossil;0.04
Tonga;2004;Other Fossil;0.04
Tonga;2005;Other Fossil;0.05
Tonga;2006;Other Fossil;0.05
Tonga;2007;Other Fossil;0.05
Tonga;2008;Other Fossil;0.05
Tonga;2009;Other Fossil;0.05
Tonga;2010;Other Fossil;0.05
