sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Other Fossil;11.29
Spain;2001;Other Fossil;11.34
Spain;2002;Other Fossil;12.57
Spain;2003;Other Fossil;9.94
Spain;2004;Other Fossil;9.26
Spain;2005;Other Fossil;9.34
Spain;2006;Other Fossil;8.69
Spain;2007;Other Fossil;6.81
Spain;2008;Other Fossil;6.45
Spain;2009;Other Fossil;7.21
Spain;2010;Other Fossil;6.11
Spain;2011;Other Fossil;5.71
Spain;2012;Other Fossil;5.77
Spain;2013;Other Fossil;5.63
Spain;2014;Other Fossil;5.92
Spain;2015;Other Fossil;6.96
Spain;2016;Other Fossil;6.88
Spain;2017;Other Fossil;6.51
Spain;2018;Other Fossil;6.21
Spain;2019;Other Fossil;5.53
Spain;2020;Other Fossil;4.77
Spain;2021;Other Fossil;4.51
Sri Lanka;2000;Other Fossil;50.85
Sri Lanka;2001;Other Fossil;52.68
Sri Lanka;2002;Other Fossil;60.59
Sri Lanka;2003;Other Fossil;55.87
Sri Lanka;2004;Other Fossil;62.69
Sri Lanka;2005;Other Fossil;61.59
Sri Lanka;2006;Other Fossil;54.1
Sri Lanka;2007;Other Fossil;58.57
Sri Lanka;2008;Other Fossil;56.65
Sri Lanka;2009;Other Fossil;58.9
Sri Lanka;2010;Other Fossil;45.5
Sri Lanka;2011;Other Fossil;47.54
Sri Lanka;2012;Other Fossil;57.08
Sri Lanka;2013;Other Fossil;31.39
Sri Lanka;2014;Other Fossil;35.12
Sri Lanka;2015;Other Fossil;28.48
Sri Lanka;2016;Other Fossil;37.12
Sri Lanka;2017;Other Fossil;38.45
Sri Lanka;2018;Other Fossil;29.56
Sri Lanka;2019;Other Fossil;38.75
Sri Lanka;2020;Other Fossil;36.95
Sudan (the);2000;Other Fossil;34.63
Sudan (the);2001;Other Fossil;35.56
Sudan (the);2002;Other Fossil;37.34
Sudan (the);2003;Other Fossil;41.62
Sudan (the);2004;Other Fossil;38.73
Sudan (the);2005;Other Fossil;38.16
Sudan (the);2006;Other Fossil;32.66
Sudan (the);2007;Other Fossil;33.33
Sudan (the);2008;Other Fossil;34.26
Sudan (the);2009;Other Fossil;23.52
Sudan (the);2010;Other Fossil;8.54
Sudan (the);2011;Other Fossil;11.08
Sudan (the);2012;Other Fossil;13.18
Sudan (the);2013;Other Fossil;8.6
Sudan (the);2014;Other Fossil;9.59
Sudan (the);2015;Other Fossil;15.46
Sudan (the);2016;Other Fossil;19.16
Sudan (the);2017;Other Fossil;17.29
Sudan (the);2018;Other Fossil;17.61
Sudan (the);2019;Other Fossil;20.17
Sudan (the);2020;Other Fossil;19.63
Suriname;2000;Other Fossil;49.29
Suriname;2001;Other Fossil;48.59
Suriname;2002;Other Fossil;48.25
Suriname;2003;Other Fossil;47.92
Suriname;2004;Other Fossil;47.59
Suriname;2005;Other Fossil;46.05
Suriname;2006;Other Fossil;44.87
Suriname;2007;Other Fossil;44.87
Suriname;2008;Other Fossil;44.87
Suriname;2009;Other Fossil;44.87
Suriname;2010;Other Fossil;28.57
Suriname;2011;Other Fossil;45.5
Suriname;2012;Other Fossil;56.61
Suriname;2013;Other Fossil;56.77
Suriname;2014;Other Fossil;70.98
Suriname;2015;Other Fossil;74.87
Suriname;2016;Other Fossil;58.33
Suriname;2017;Other Fossil;50.53
Suriname;2018;Other Fossil;47.09
Suriname;2019;Other Fossil;41.95
Suriname;2020;Other Fossil;40.69
Sweden;2000;Other Fossil;1.82
Sweden;2001;Other Fossil;2.41
Sweden;2002;Other Fossil;3.07
Sweden;2003;Other Fossil;4.18
Sweden;2004;Other Fossil;2.79
Sweden;2005;Other Fossil;2.22
Sweden;2006;Other Fossil;2.62
Sweden;2007;Other Fossil;1.98
Sweden;2008;Other Fossil;2.31
Sweden;2009;Other Fossil;1.87
Sweden;2010;Other Fossil;3.1
Sweden;2011;Other Fossil;2.32
Sweden;2012;Other Fossil;1.62
Sweden;2013;Other Fossil;1.56
Sweden;2014;Other Fossil;1.39
Sweden;2015;Other Fossil;1.43
Sweden;2016;Other Fossil;1.74
Sweden;2017;Other Fossil;1.72
Sweden;2018;Other Fossil;1.8
Sweden;2019;Other Fossil;1.69
Sweden;2020;Other Fossil;1.43
Sweden;2021;Other Fossil;1.37
Switzerland;2000;Other Fossil;4.26
Switzerland;2001;Other Fossil;4.08
Switzerland;2002;Other Fossil;4.56
Switzerland;2003;Other Fossil;4.68
Switzerland;2004;Other Fossil;4.9
Switzerland;2005;Other Fossil;5.51
Switzerland;2006;Other Fossil;5.35
Switzerland;2007;Other Fossil;4.85
Switzerland;2008;Other Fossil;4.85
Switzerland;2009;Other Fossil;4.82
Switzerland;2010;Other Fossil;5.32
Switzerland;2011;Other Fossil;5.61
Switzerland;2012;Other Fossil;5.45
Switzerland;2013;Other Fossil;5.36
Switzerland;2014;Other Fossil;5.1
Switzerland;2015;Other Fossil;5.34
Switzerland;2016;Other Fossil;6.39
Switzerland;2017;Other Fossil;6.46
Switzerland;2018;Other Fossil;5.68
Switzerland;2019;Other Fossil;5.38
Switzerland;2020;Other Fossil;5.27
Switzerland;2021;Other Fossil;5.75
Syrian Arab Republic (the);2000;Other Fossil;39.96
Syrian Arab Republic (the);2001;Other Fossil;40.01
Syrian Arab Republic (the);2002;Other Fossil;41.94
Syrian Arab Republic (the);2003;Other Fossil;41.64
Syrian Arab Republic (the);2004;Other Fossil;39.88
Syrian Arab Republic (the);2005;Other Fossil;40.19
Syrian Arab Republic (the);2006;Other Fossil;41.04
Syrian Arab Republic (the);2007;Other Fossil;41.8
Syrian Arab Republic (the);2008;Other Fossil;38.98
Syrian Arab Republic (the);2009;Other Fossil;38.17
Syrian Arab Republic (the);2010;Other Fossil;36.26
Syrian Arab Republic (the);2011;Other Fossil;33.7
Syrian Arab Republic (the);2012;Other Fossil;33.19
Syrian Arab Republic (the);2013;Other Fossil;29.82
Syrian Arab Republic (the);2014;Other Fossil;30.15
Syrian Arab Republic (the);2015;Other Fossil;33.25
Syrian Arab Republic (the);2016;Other Fossil;32.29
Syrian Arab Republic (the);2017;Other Fossil;32.6
Syrian Arab Republic (the);2018;Other Fossil;32.61
Syrian Arab Republic (the);2019;Other Fossil;31.58
Syrian Arab Republic (the);2020;Other Fossil;36.18
Taiwan (Province of China);2000;Other Fossil;17.05
Taiwan (Province of China);2001;Other Fossil;14
Taiwan (Province of China);2002;Other Fossil;10.7
Taiwan (Province of China);2003;Other Fossil;9.54
Taiwan (Province of China);2004;Other Fossil;8.15
Taiwan (Province of China);2005;Other Fossil;7.73
Taiwan (Province of China);2006;Other Fossil;8.61
Taiwan (Province of China);2007;Other Fossil;7.07
Taiwan (Province of China);2008;Other Fossil;6.43
Taiwan (Province of China);2009;Other Fossil;4.15
Taiwan (Province of China);2010;Other Fossil;4.58
Taiwan (Province of China);2011;Other Fossil;3.82
Taiwan (Province of China);2012;Other Fossil;3.09
Taiwan (Province of China);2013;Other Fossil;2.73
Taiwan (Province of China);2014;Other Fossil;3.14
Taiwan (Province of China);2015;Other Fossil;4.72
Taiwan (Province of China);2016;Other Fossil;4.56
Taiwan (Province of China);2017;Other Fossil;4.77
Taiwan (Province of China);2018;Other Fossil;3
Taiwan (Province of China);2019;Other Fossil;2.13
Taiwan (Province of China);2020;Other Fossil;1.53
Taiwan (Province of China);2021;Other Fossil;2.02
