sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Other Renewables;0
Spain;2001;Other Renewables;0
Spain;2002;Other Renewables;0
Spain;2003;Other Renewables;0
Spain;2004;Other Renewables;0
Spain;2005;Other Renewables;0
Spain;2006;Other Renewables;0
Spain;2007;Other Renewables;0
Spain;2008;Other Renewables;0
Spain;2009;Other Renewables;0
Spain;2010;Other Renewables;0
Spain;2011;Other Renewables;0
Spain;2012;Other Renewables;0
Spain;2013;Other Renewables;0
Spain;2014;Other Renewables;0
Spain;2015;Other Renewables;0
Spain;2016;Other Renewables;0
Spain;2017;Other Renewables;0
Spain;2018;Other Renewables;0
Spain;2019;Other Renewables;0.02
Spain;2020;Other Renewables;0.03
Spain;2021;Other Renewables;0.03
Sri Lanka;2000;Other Renewables;0
Sri Lanka;2001;Other Renewables;0
Sri Lanka;2002;Other Renewables;0
Sri Lanka;2003;Other Renewables;0
Sri Lanka;2004;Other Renewables;0
Sri Lanka;2005;Other Renewables;0
Sri Lanka;2006;Other Renewables;0
Sri Lanka;2007;Other Renewables;0
Sri Lanka;2008;Other Renewables;0
Sri Lanka;2009;Other Renewables;0
Sri Lanka;2010;Other Renewables;0
Sri Lanka;2011;Other Renewables;0
Sri Lanka;2012;Other Renewables;0
Sri Lanka;2013;Other Renewables;0
Sri Lanka;2014;Other Renewables;0
Sri Lanka;2015;Other Renewables;0
Sri Lanka;2016;Other Renewables;0
Sri Lanka;2017;Other Renewables;0
Sri Lanka;2018;Other Renewables;0
Sri Lanka;2019;Other Renewables;0
Sri Lanka;2020;Other Renewables;0
Sudan (the);2000;Other Renewables;0
Sudan (the);2001;Other Renewables;0
Sudan (the);2002;Other Renewables;0
Sudan (the);2003;Other Renewables;0
Sudan (the);2004;Other Renewables;0
Sudan (the);2005;Other Renewables;0
Sudan (the);2006;Other Renewables;0
Sudan (the);2007;Other Renewables;0
Sudan (the);2008;Other Renewables;0
Sudan (the);2009;Other Renewables;0
Sudan (the);2010;Other Renewables;0
Sudan (the);2011;Other Renewables;0
Sudan (the);2012;Other Renewables;0
Sudan (the);2013;Other Renewables;0
Sudan (the);2014;Other Renewables;0
Sudan (the);2015;Other Renewables;0
Sudan (the);2016;Other Renewables;0
Sudan (the);2017;Other Renewables;0
Sudan (the);2018;Other Renewables;0
Sudan (the);2019;Other Renewables;0
Sudan (the);2020;Other Renewables;0
Suriname;2000;Other Renewables;0
Suriname;2001;Other Renewables;0
Suriname;2002;Other Renewables;0
Suriname;2003;Other Renewables;0
Suriname;2004;Other Renewables;0
Suriname;2005;Other Renewables;0
Suriname;2006;Other Renewables;0
Suriname;2007;Other Renewables;0
Suriname;2008;Other Renewables;0
Suriname;2009;Other Renewables;0
Suriname;2010;Other Renewables;0
Suriname;2011;Other Renewables;0
Suriname;2012;Other Renewables;0
Suriname;2013;Other Renewables;0
Suriname;2014;Other Renewables;0
Suriname;2015;Other Renewables;0
Suriname;2016;Other Renewables;0
Suriname;2017;Other Renewables;0
Suriname;2018;Other Renewables;0
Suriname;2019;Other Renewables;0
Suriname;2020;Other Renewables;0
Sweden;2000;Other Renewables;0
Sweden;2001;Other Renewables;0
Sweden;2002;Other Renewables;0
Sweden;2003;Other Renewables;0
Sweden;2004;Other Renewables;0
Sweden;2005;Other Renewables;0
Sweden;2006;Other Renewables;0
Sweden;2007;Other Renewables;0
Sweden;2008;Other Renewables;0
Sweden;2009;Other Renewables;0
Sweden;2010;Other Renewables;0
Sweden;2011;Other Renewables;0
Sweden;2012;Other Renewables;0
Sweden;2013;Other Renewables;0
Sweden;2014;Other Renewables;0
Sweden;2015;Other Renewables;0
Sweden;2016;Other Renewables;0
Sweden;2017;Other Renewables;0
Sweden;2018;Other Renewables;0
Sweden;2019;Other Renewables;0
Sweden;2020;Other Renewables;0
Sweden;2021;Other Renewables;0
Switzerland;2000;Other Renewables;0
Switzerland;2001;Other Renewables;0
Switzerland;2002;Other Renewables;0
Switzerland;2003;Other Renewables;0
Switzerland;2004;Other Renewables;0
Switzerland;2005;Other Renewables;0
Switzerland;2006;Other Renewables;0
Switzerland;2007;Other Renewables;0
Switzerland;2008;Other Renewables;0
Switzerland;2009;Other Renewables;0
Switzerland;2010;Other Renewables;0
Switzerland;2011;Other Renewables;0
Switzerland;2012;Other Renewables;0
Switzerland;2013;Other Renewables;0
Switzerland;2014;Other Renewables;0
Switzerland;2015;Other Renewables;0
Switzerland;2016;Other Renewables;0
Switzerland;2017;Other Renewables;0
Switzerland;2018;Other Renewables;0
Switzerland;2019;Other Renewables;0
Switzerland;2020;Other Renewables;0
Switzerland;2021;Other Renewables;0
Syrian Arab Republic (the);2000;Other Renewables;0
Syrian Arab Republic (the);2001;Other Renewables;0
Syrian Arab Republic (the);2002;Other Renewables;0
Syrian Arab Republic (the);2003;Other Renewables;0
Syrian Arab Republic (the);2004;Other Renewables;0
Syrian Arab Republic (the);2005;Other Renewables;0
Syrian Arab Republic (the);2006;Other Renewables;0
Syrian Arab Republic (the);2007;Other Renewables;0
Syrian Arab Republic (the);2008;Other Renewables;0
Syrian Arab Republic (the);2009;Other Renewables;0
Syrian Arab Republic (the);2010;Other Renewables;0
Syrian Arab Republic (the);2011;Other Renewables;0
Syrian Arab Republic (the);2012;Other Renewables;0
Syrian Arab Republic (the);2013;Other Renewables;0
Syrian Arab Republic (the);2014;Other Renewables;0
Syrian Arab Republic (the);2015;Other Renewables;0
Syrian Arab Republic (the);2016;Other Renewables;0
Syrian Arab Republic (the);2017;Other Renewables;0
Syrian Arab Republic (the);2018;Other Renewables;0
Syrian Arab Republic (the);2019;Other Renewables;0
Syrian Arab Republic (the);2020;Other Renewables;0
Taiwan (Province of China);2000;Other Renewables;0
Taiwan (Province of China);2001;Other Renewables;0
Taiwan (Province of China);2002;Other Renewables;0
Taiwan (Province of China);2003;Other Renewables;0
Taiwan (Province of China);2004;Other Renewables;0
Taiwan (Province of China);2005;Other Renewables;0
Taiwan (Province of China);2006;Other Renewables;0
Taiwan (Province of China);2007;Other Renewables;0
Taiwan (Province of China);2008;Other Renewables;0
Taiwan (Province of China);2009;Other Renewables;0
Taiwan (Province of China);2010;Other Renewables;0
Taiwan (Province of China);2011;Other Renewables;0
Taiwan (Province of China);2012;Other Renewables;0
Taiwan (Province of China);2013;Other Renewables;0
Taiwan (Province of China);2014;Other Renewables;0
Taiwan (Province of China);2015;Other Renewables;0
Taiwan (Province of China);2016;Other Renewables;0
Taiwan (Province of China);2017;Other Renewables;0
Taiwan (Province of China);2018;Other Renewables;0
Taiwan (Province of China);2019;Other Renewables;0
Taiwan (Province of China);2020;Other Renewables;0
Taiwan (Province of China);2021;Other Renewables;0
Tajikistan;2000;Other Renewables;0
Tajikistan;2001;Other Renewables;0
Tajikistan;2002;Other Renewables;0
Tajikistan;2003;Other Renewables;0
Tajikistan;2004;Other Renewables;0
Tajikistan;2005;Other Renewables;0
Tajikistan;2006;Other Renewables;0
Tajikistan;2007;Other Renewables;0
Tajikistan;2008;Other Renewables;0
Tajikistan;2009;Other Renewables;0
Tajikistan;2010;Other Renewables;0
Tajikistan;2011;Other Renewables;0
Tajikistan;2012;Other Renewables;0
Tajikistan;2013;Other Renewables;0
Tajikistan;2014;Other Renewables;0
Tajikistan;2015;Other Renewables;0
Tajikistan;2016;Other Renewables;0
Tajikistan;2017;Other Renewables;0
Tajikistan;2018;Other Renewables;0
Tajikistan;2019;Other Renewables;0
Tajikistan;2020;Other Renewables;0
Tajikistan;2021;Other Renewables;0
Thailand;2000;Other Renewables;0
Thailand;2001;Other Renewables;0
Thailand;2002;Other Renewables;0
Thailand;2003;Other Renewables;0
Thailand;2004;Other Renewables;0
Thailand;2005;Other Renewables;0
Thailand;2006;Other Renewables;0
Thailand;2007;Other Renewables;0
Thailand;2008;Other Renewables;0
Thailand;2009;Other Renewables;0
Thailand;2010;Other Renewables;0
Thailand;2011;Other Renewables;0
Thailand;2012;Other Renewables;0
Thailand;2013;Other Renewables;0
Thailand;2014;Other Renewables;0
Thailand;2015;Other Renewables;0
Thailand;2016;Other Renewables;0
Thailand;2017;Other Renewables;0
Thailand;2018;Other Renewables;0
Thailand;2019;Other Renewables;0
Thailand;2020;Other Renewables;0
Thailand;2021;Other Renewables;0
Togo;2000;Other Renewables;0
Togo;2001;Other Renewables;0
Togo;2002;Other Renewables;0
Togo;2003;Other Renewables;0
Togo;2004;Other Renewables;0
Togo;2005;Other Renewables;0
Togo;2006;Other Renewables;0
Togo;2007;Other Renewables;0
Togo;2008;Other Renewables;0
Togo;2009;Other Renewables;0
Togo;2010;Other Renewables;0
Togo;2011;Other Renewables;0
Togo;2012;Other Renewables;0
Togo;2013;Other Renewables;0
Togo;2014;Other Renewables;0
Togo;2015;Other Renewables;0
Togo;2016;Other Renewables;0
Togo;2017;Other Renewables;0
Togo;2018;Other Renewables;0
Togo;2019;Other Renewables;0
