sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Solar;0.01
Spain;2001;Solar;0.02
Spain;2002;Solar;0.02
Spain;2003;Solar;0.02
Spain;2004;Solar;0.02
Spain;2005;Solar;0.05
Spain;2006;Solar;0.12
Spain;2007;Solar;0.52
Spain;2008;Solar;2.58
Spain;2009;Solar;6.06
Spain;2010;Solar;7.19
Spain;2011;Solar;9.4
Spain;2012;Solar;11.97
Spain;2013;Solar;13.1
Spain;2014;Solar;13.67
Spain;2015;Solar;13.86
Spain;2016;Solar;13.64
Spain;2017;Solar;14.4
Spain;2018;Solar;12.74
Spain;2019;Solar;15.1
Spain;2020;Solar;20.67
Spain;2021;Solar;25.98
Sri Lanka;2000;Solar;0.01
Sri Lanka;2001;Solar;0.01
Sri Lanka;2002;Solar;0.01
Sri Lanka;2003;Solar;0.01
Sri Lanka;2004;Solar;0.01
Sri Lanka;2005;Solar;0.01
Sri Lanka;2006;Solar;0.01
Sri Lanka;2007;Solar;0.02
Sri Lanka;2008;Solar;0.02
Sri Lanka;2009;Solar;0.02
Sri Lanka;2010;Solar;0.02
Sri Lanka;2011;Solar;0.02
Sri Lanka;2012;Solar;0.02
Sri Lanka;2013;Solar;0.02
Sri Lanka;2014;Solar;0.02
Sri Lanka;2015;Solar;0.02
Sri Lanka;2016;Solar;0.02
Sri Lanka;2017;Solar;0.14
Sri Lanka;2018;Solar;0.12
Sri Lanka;2019;Solar;0.1
Sri Lanka;2020;Solar;0.11
Sudan (the);2000;Solar;0
Sudan (the);2001;Solar;0
Sudan (the);2002;Solar;0
Sudan (the);2003;Solar;0
Sudan (the);2004;Solar;0
Sudan (the);2005;Solar;0
Sudan (the);2006;Solar;0
Sudan (the);2007;Solar;0
Sudan (the);2008;Solar;0
Sudan (the);2009;Solar;0
Sudan (the);2010;Solar;0
Sudan (the);2011;Solar;0
Sudan (the);2012;Solar;0.01
Sudan (the);2013;Solar;0.01
Sudan (the);2014;Solar;0.01
Sudan (the);2015;Solar;0.01
Sudan (the);2016;Solar;0.02
Sudan (the);2017;Solar;0.02
Sudan (the);2018;Solar;0.02
Sudan (the);2019;Solar;0.02
Sudan (the);2020;Solar;0.02
Suriname;2000;Solar;0
Suriname;2001;Solar;0
Suriname;2002;Solar;0
Suriname;2003;Solar;0
Suriname;2004;Solar;0
Suriname;2005;Solar;0
Suriname;2006;Solar;0
Suriname;2007;Solar;0
Suriname;2008;Solar;0
Suriname;2009;Solar;0
Suriname;2010;Solar;0
Suriname;2011;Solar;0
Suriname;2012;Solar;0
Suriname;2013;Solar;0
Suriname;2014;Solar;0.01
Suriname;2015;Solar;0.01
Suriname;2016;Solar;0.01
Suriname;2017;Solar;0.01
Suriname;2018;Solar;0.01
Suriname;2019;Solar;0.01
Suriname;2020;Solar;0.01
Sweden;2000;Solar;0
Sweden;2001;Solar;0
Sweden;2002;Solar;0
Sweden;2003;Solar;0
Sweden;2004;Solar;0
Sweden;2005;Solar;0
Sweden;2006;Solar;0
Sweden;2007;Solar;0
Sweden;2008;Solar;0
Sweden;2009;Solar;0.01
Sweden;2010;Solar;0.01
Sweden;2011;Solar;0.01
Sweden;2012;Solar;0.02
Sweden;2013;Solar;0.04
Sweden;2014;Solar;0.05
Sweden;2015;Solar;0.1
Sweden;2016;Solar;0.14
Sweden;2017;Solar;0.23
Sweden;2018;Solar;0.41
Sweden;2019;Solar;0.68
Sweden;2020;Solar;1.05
Sweden;2021;Solar;1.05
Switzerland;2000;Solar;0.01
Switzerland;2001;Solar;0.01
Switzerland;2002;Solar;0.01
Switzerland;2003;Solar;0.02
Switzerland;2004;Solar;0.02
Switzerland;2005;Solar;0.02
Switzerland;2006;Solar;0.02
Switzerland;2007;Solar;0.03
Switzerland;2008;Solar;0.03
Switzerland;2009;Solar;0.05
Switzerland;2010;Solar;0.09
Switzerland;2011;Solar;0.17
Switzerland;2012;Solar;0.3
Switzerland;2013;Solar;0.5
Switzerland;2014;Solar;0.84
Switzerland;2015;Solar;1.12
Switzerland;2016;Solar;1.33
Switzerland;2017;Solar;1.68
Switzerland;2018;Solar;1.95
Switzerland;2019;Solar;2.18
Switzerland;2020;Solar;2.52
Switzerland;2021;Solar;2.67
Syrian Arab Republic (the);2000;Solar;0
Syrian Arab Republic (the);2001;Solar;0
Syrian Arab Republic (the);2002;Solar;0
Syrian Arab Republic (the);2003;Solar;0
Syrian Arab Republic (the);2004;Solar;0
Syrian Arab Republic (the);2005;Solar;0
Syrian Arab Republic (the);2006;Solar;0
Syrian Arab Republic (the);2007;Solar;0
Syrian Arab Republic (the);2008;Solar;0
Syrian Arab Republic (the);2009;Solar;0
Syrian Arab Republic (the);2010;Solar;0
Syrian Arab Republic (the);2011;Solar;0
Syrian Arab Republic (the);2012;Solar;0
Syrian Arab Republic (the);2013;Solar;0
Syrian Arab Republic (the);2014;Solar;0
Syrian Arab Republic (the);2015;Solar;0
Syrian Arab Republic (the);2016;Solar;0
Syrian Arab Republic (the);2017;Solar;0
Syrian Arab Republic (the);2018;Solar;0
Syrian Arab Republic (the);2019;Solar;0
Syrian Arab Republic (the);2020;Solar;0
Taiwan (Province of China);2000;Solar;0
Taiwan (Province of China);2001;Solar;0
Taiwan (Province of China);2002;Solar;0
Taiwan (Province of China);2003;Solar;0
Taiwan (Province of China);2004;Solar;0
Taiwan (Province of China);2005;Solar;0
Taiwan (Province of China);2006;Solar;0
Taiwan (Province of China);2007;Solar;0
Taiwan (Province of China);2008;Solar;0
Taiwan (Province of China);2009;Solar;0.01
Taiwan (Province of China);2010;Solar;0.02
Taiwan (Province of China);2011;Solar;0.11
Taiwan (Province of China);2012;Solar;0.21
Taiwan (Province of China);2013;Solar;0.34
Taiwan (Province of China);2014;Solar;0.55
Taiwan (Province of China);2015;Solar;0.88
Taiwan (Province of China);2016;Solar;1.13
Taiwan (Province of China);2017;Solar;1.69
Taiwan (Province of China);2018;Solar;2.74
Taiwan (Province of China);2019;Solar;4.01
Taiwan (Province of China);2020;Solar;6.09
Taiwan (Province of China);2021;Solar;9.7
Tajikistan;2000;Solar;0
Tajikistan;2001;Solar;0
Tajikistan;2002;Solar;0
Tajikistan;2003;Solar;0
Tajikistan;2004;Solar;0
Tajikistan;2005;Solar;0
Tajikistan;2006;Solar;0
Tajikistan;2007;Solar;0
Tajikistan;2008;Solar;0
Tajikistan;2009;Solar;0
Tajikistan;2010;Solar;0
Tajikistan;2011;Solar;0
Tajikistan;2012;Solar;0
Tajikistan;2013;Solar;0
Tajikistan;2014;Solar;0
Tajikistan;2015;Solar;0
Tajikistan;2016;Solar;0
Tajikistan;2017;Solar;0
Tajikistan;2018;Solar;0
Tajikistan;2019;Solar;0
Tajikistan;2020;Solar;0
Tajikistan;2021;Solar;0
Thailand;2000;Solar;0
Thailand;2001;Solar;0
Thailand;2002;Solar;0
Thailand;2003;Solar;0
Thailand;2004;Solar;0
Thailand;2005;Solar;0
Thailand;2006;Solar;0
Thailand;2007;Solar;0
Thailand;2008;Solar;0
Thailand;2009;Solar;0.01
Thailand;2010;Solar;0.02
Thailand;2011;Solar;0.09
Thailand;2012;Solar;0.49
Thailand;2013;Solar;1.08
Thailand;2014;Solar;1.38
Thailand;2015;Solar;2.38
Thailand;2016;Solar;3.38
Thailand;2017;Solar;4.54
Thailand;2018;Solar;4.54
Thailand;2019;Solar;5.15
Thailand;2020;Solar;4.93
Thailand;2021;Solar;4.1
Togo;2000;Solar;0
Togo;2001;Solar;0
Togo;2002;Solar;0
Togo;2003;Solar;0
Togo;2004;Solar;0
Togo;2005;Solar;0
Togo;2006;Solar;0
Togo;2007;Solar;0
Togo;2008;Solar;0
Togo;2009;Solar;0
Togo;2010;Solar;0
Togo;2011;Solar;0
Togo;2012;Solar;0
Togo;2013;Solar;0
Togo;2014;Solar;0
Togo;2015;Solar;0
Togo;2016;Solar;0
Togo;2017;Solar;0
Togo;2018;Solar;0
Togo;2019;Solar;0
Togo;2020;Solar;0
Tonga;2000;Solar;0
Tonga;2001;Solar;0
Tonga;2002;Solar;0
Tonga;2003;Solar;0
Tonga;2004;Solar;0
Tonga;2005;Solar;0
Tonga;2006;Solar;0
Tonga;2007;Solar;0
