sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Solar;0
Spain;2001;Solar;0.01
Spain;2002;Solar;0.01
Spain;2003;Solar;0.01
Spain;2004;Solar;0.01
Spain;2005;Solar;0.02
Spain;2006;Solar;0.04
Spain;2007;Solar;0.17
Spain;2008;Solar;0.83
Spain;2009;Solar;2.08
Spain;2010;Solar;2.41
Spain;2011;Solar;3.23
Spain;2012;Solar;4.07
Spain;2013;Solar;4.65
Spain;2014;Solar;4.97
Spain;2015;Solar;4.99
Spain;2016;Solar;5.03
Spain;2017;Solar;5.28
Spain;2018;Solar;4.69
Spain;2019;Solar;5.57
Spain;2020;Solar;7.96
Spain;2021;Solar;9.69
Sri Lanka;2000;Solar;0.16
Sri Lanka;2001;Solar;0.15
Sri Lanka;2002;Solar;0.15
Sri Lanka;2003;Solar;0.13
Sri Lanka;2004;Solar;0.13
Sri Lanka;2005;Solar;0.11
Sri Lanka;2006;Solar;0.12
Sri Lanka;2007;Solar;0.21
Sri Lanka;2008;Solar;0.21
Sri Lanka;2009;Solar;0.21
Sri Lanka;2010;Solar;0.19
Sri Lanka;2011;Solar;0.18
Sri Lanka;2012;Solar;0.18
Sri Lanka;2013;Solar;0.17
Sri Lanka;2014;Solar;0.17
Sri Lanka;2015;Solar;0.16
Sri Lanka;2016;Solar;0.15
Sri Lanka;2017;Solar;0.95
Sri Lanka;2018;Solar;0.81
Sri Lanka;2019;Solar;0.65
Sri Lanka;2020;Solar;0.72
Sudan (the);2000;Solar;0
Sudan (the);2001;Solar;0
Sudan (the);2002;Solar;0
Sudan (the);2003;Solar;0
Sudan (the);2004;Solar;0
Sudan (the);2005;Solar;0
Sudan (the);2006;Solar;0
Sudan (the);2007;Solar;0
Sudan (the);2008;Solar;0
Sudan (the);2009;Solar;0
Sudan (the);2010;Solar;0
Sudan (the);2011;Solar;0
Sudan (the);2012;Solar;0.11
Sudan (the);2013;Solar;0.1
Sudan (the);2014;Solar;0.09
Sudan (the);2015;Solar;0.08
Sudan (the);2016;Solar;0.14
Sudan (the);2017;Solar;0.13
Sudan (the);2018;Solar;0.13
Sudan (the);2019;Solar;0.14
Sudan (the);2020;Solar;0.14
Suriname;2000;Solar;0
Suriname;2001;Solar;0
Suriname;2002;Solar;0
Suriname;2003;Solar;0
Suriname;2004;Solar;0
Suriname;2005;Solar;0
Suriname;2006;Solar;0
Suriname;2007;Solar;0
Suriname;2008;Solar;0
Suriname;2009;Solar;0
Suriname;2010;Solar;0
Suriname;2011;Solar;0
Suriname;2012;Solar;0
Suriname;2013;Solar;0
Suriname;2014;Solar;0.52
Suriname;2015;Solar;0.51
Suriname;2016;Solar;0.52
Suriname;2017;Solar;0.53
Suriname;2018;Solar;0.53
Suriname;2019;Solar;0.42
Suriname;2020;Solar;0.43
Sweden;2000;Solar;0
Sweden;2001;Solar;0
Sweden;2002;Solar;0
Sweden;2003;Solar;0
Sweden;2004;Solar;0
Sweden;2005;Solar;0
Sweden;2006;Solar;0
Sweden;2007;Solar;0
Sweden;2008;Solar;0
Sweden;2009;Solar;0.01
Sweden;2010;Solar;0.01
Sweden;2011;Solar;0.01
Sweden;2012;Solar;0.01
Sweden;2013;Solar;0.03
Sweden;2014;Solar;0.03
Sweden;2015;Solar;0.06
Sweden;2016;Solar;0.09
Sweden;2017;Solar;0.14
Sweden;2018;Solar;0.25
Sweden;2019;Solar;0.4
Sweden;2020;Solar;0.64
Sweden;2021;Solar;0.61
Switzerland;2000;Solar;0.02
Switzerland;2001;Solar;0.02
Switzerland;2002;Solar;0.02
Switzerland;2003;Solar;0.03
Switzerland;2004;Solar;0.03
Switzerland;2005;Solar;0.04
Switzerland;2006;Solar;0.03
Switzerland;2007;Solar;0.05
Switzerland;2008;Solar;0.05
Switzerland;2009;Solar;0.08
Switzerland;2010;Solar;0.14
Switzerland;2011;Solar;0.29
Switzerland;2012;Solar;0.47
Switzerland;2013;Solar;0.77
