sep=;
country_or_region;year;variable;generation_twh
Spain;2000;Wind;4.73
Spain;2001;Wind;6.76
Spain;2002;Wind;9.34
Spain;2003;Wind;12.07
Spain;2004;Wind;15.7
Spain;2005;Wind;21.18
Spain;2006;Wind;23.3
Spain;2007;Wind;27.57
Spain;2008;Wind;32.95
Spain;2009;Wind;38.12
Spain;2010;Wind;44.27
Spain;2011;Wind;42.92
Spain;2012;Wind;49.47
Spain;2013;Wind;55.65
Spain;2014;Wind;52.01
Spain;2015;Wind;49.33
Spain;2016;Wind;48.9
Spain;2017;Wind;49.13
Spain;2018;Wind;50.9
Spain;2019;Wind;55.65
Spain;2020;Wind;56.44
Spain;2021;Wind;62.27
Sri Lanka;2000;Wind;0
Sri Lanka;2001;Wind;0
Sri Lanka;2002;Wind;0
Sri Lanka;2003;Wind;0
Sri Lanka;2004;Wind;0
Sri Lanka;2005;Wind;0
Sri Lanka;2006;Wind;0
Sri Lanka;2007;Wind;0
Sri Lanka;2008;Wind;0
Sri Lanka;2009;Wind;0
Sri Lanka;2010;Wind;0.05
Sri Lanka;2011;Wind;0.09
Sri Lanka;2012;Wind;0.15
Sri Lanka;2013;Wind;0.23
Sri Lanka;2014;Wind;0.27
Sri Lanka;2015;Wind;0.34
Sri Lanka;2016;Wind;0.34
Sri Lanka;2017;Wind;0.37
Sri Lanka;2018;Wind;0.32
Sri Lanka;2019;Wind;0.35
Sri Lanka;2020;Wind;0.35
Sudan (the);2000;Wind;0
Sudan (the);2001;Wind;0
Sudan (the);2002;Wind;0
Sudan (the);2003;Wind;0
Sudan (the);2004;Wind;0
Sudan (the);2005;Wind;0
Sudan (the);2006;Wind;0
Sudan (the);2007;Wind;0
Sudan (the);2008;Wind;0
Sudan (the);2009;Wind;0
Sudan (the);2010;Wind;0
Sudan (the);2011;Wind;0
Sudan (the);2012;Wind;0
Sudan (the);2013;Wind;0
Sudan (the);2014;Wind;0
Sudan (the);2015;Wind;0
Sudan (the);2016;Wind;0
Sudan (the);2017;Wind;0
Sudan (the);2018;Wind;0
Sudan (the);2019;Wind;0
Sudan (the);2020;Wind;0
Suriname;2000;Wind;0
Suriname;2001;Wind;0
Suriname;2002;Wind;0
Suriname;2003;Wind;0
Suriname;2004;Wind;0
Suriname;2005;Wind;0
Suriname;2006;Wind;0
Suriname;2007;Wind;0
Suriname;2008;Wind;0
Suriname;2009;Wind;0
Suriname;2010;Wind;0
Suriname;2011;Wind;0
Suriname;2012;Wind;0
Suriname;2013;Wind;0
Suriname;2014;Wind;0
Suriname;2015;Wind;0
Suriname;2016;Wind;0
Suriname;2017;Wind;0
Suriname;2018;Wind;0
Suriname;2019;Wind;0
Suriname;2020;Wind;0
Sweden;2000;Wind;0.46
Sweden;2001;Wind;0.48
Sweden;2002;Wind;0.61
Sweden;2003;Wind;0.68
Sweden;2004;Wind;0.86
Sweden;2005;Wind;0.94
Sweden;2006;Wind;0.98
Sweden;2007;Wind;1.43
Sweden;2008;Wind;2
Sweden;2009;Wind;2.49
Sweden;2010;Wind;3.49
Sweden;2011;Wind;6.11
Sweden;2012;Wind;7.16
Sweden;2013;Wind;9.84
Sweden;2014;Wind;11.23
Sweden;2015;Wind;16.32
Sweden;2016;Wind;15.48
Sweden;2017;Wind;17.61
Sweden;2018;Wind;16.62
Sweden;2019;Wind;19.85
Sweden;2020;Wind;27.53
Sweden;2021;Wind;27.32
Switzerland;2000;Wind;0
Switzerland;2001;Wind;0
Switzerland;2002;Wind;0
Switzerland;2003;Wind;0
Switzerland;2004;Wind;0.01
Switzerland;2005;Wind;0.01
Switzerland;2006;Wind;0.01
Switzerland;2007;Wind;0.02
Switzerland;2008;Wind;0.02
Switzerland;2009;Wind;0.02
Switzerland;2010;Wind;0.04
Switzerland;2011;Wind;0.07
Switzerland;2012;Wind;0.09
Switzerland;2013;Wind;0.09
Switzerland;2014;Wind;0.1
Switzerland;2015;Wind;0.11
Switzerland;2016;Wind;0.11
Switzerland;2017;Wind;0.13
Switzerland;2018;Wind;0.12
Switzerland;2019;Wind;0.15
Switzerland;2020;Wind;0.14
Switzerland;2021;Wind;0.1
Syrian Arab Republic (the);2000;Wind;0
Syrian Arab Republic (the);2001;Wind;0
Syrian Arab Republic (the);2002;Wind;0
Syrian Arab Republic (the);2003;Wind;0
Syrian Arab Republic (the);2004;Wind;0
Syrian Arab Republic (the);2005;Wind;0
Syrian Arab Republic (the);2006;Wind;0
Syrian Arab Republic (the);2007;Wind;0
Syrian Arab Republic (the);2008;Wind;0
Syrian Arab Republic (the);2009;Wind;0
Syrian Arab Republic (the);2010;Wind;0
Syrian Arab Republic (the);2011;Wind;0
Syrian Arab Republic (the);2012;Wind;0
Syrian Arab Republic (the);2013;Wind;0
Syrian Arab Republic (the);2014;Wind;0
Syrian Arab Republic (the);2015;Wind;0
Syrian Arab Republic (the);2016;Wind;0
Syrian Arab Republic (the);2017;Wind;0
Syrian Arab Republic (the);2018;Wind;0
Syrian Arab Republic (the);2019;Wind;0
Syrian Arab Republic (the);2020;Wind;0
Taiwan (Province of China);2000;Wind;0
Taiwan (Province of China);2001;Wind;0.01
Taiwan (Province of China);2002;Wind;0.02
Taiwan (Province of China);2003;Wind;0.02
Taiwan (Province of China);2004;Wind;0.03
Taiwan (Province of China);2005;Wind;0.09
Taiwan (Province of China);2006;Wind;0.28
Taiwan (Province of China);2007;Wind;0.44
Taiwan (Province of China);2008;Wind;0.59
Taiwan (Province of China);2009;Wind;0.79
Taiwan (Province of China);2010;Wind;1.03
Taiwan (Province of China);2011;Wind;1.49
Taiwan (Province of China);2012;Wind;1.41
Taiwan (Province of China);2013;Wind;1.64
Taiwan (Province of China);2014;Wind;1.5
Taiwan (Province of China);2015;Wind;1.53
Taiwan (Province of China);2016;Wind;1.46
Taiwan (Province of China);2017;Wind;1.72
Taiwan (Province of China);2018;Wind;1.71
Taiwan (Province of China);2019;Wind;1.89
Taiwan (Province of China);2020;Wind;2.42
Taiwan (Province of China);2021;Wind;2.16
Tajikistan;2000;Wind;0
Tajikistan;2001;Wind;0
Tajikistan;2002;Wind;0
Tajikistan;2003;Wind;0
Tajikistan;2004;Wind;0
Tajikistan;2005;Wind;0
Tajikistan;2006;Wind;0
Tajikistan;2007;Wind;0
Tajikistan;2008;Wind;0
Tajikistan;2009;Wind;0
Tajikistan;2010;Wind;0
Tajikistan;2011;Wind;0
Tajikistan;2012;Wind;0
Tajikistan;2013;Wind;0
Tajikistan;2014;Wind;0
Tajikistan;2015;Wind;0
Tajikistan;2016;Wind;0
Tajikistan;2017;Wind;0
Tajikistan;2018;Wind;0
Tajikistan;2019;Wind;0
Tajikistan;2020;Wind;0
Tajikistan;2021;Wind;0
Thailand;2000;Wind;0
