sep=;
country_or_region;year;variable;share_of_generation_pct
Spain;2000;Wind;2.14
Spain;2001;Wind;2.9
Spain;2002;Wind;3.89
Spain;2003;Wind;4.69
Spain;2004;Wind;5.74
Spain;2005;Wind;7.45
Spain;2006;Wind;7.89
Spain;2007;Wind;9.14
Spain;2008;Wind;10.61
Spain;2009;Wind;13.08
Spain;2010;Wind;14.85
Spain;2011;Wind;14.73
Spain;2012;Wind;16.84
Spain;2013;Wind;19.77
Spain;2014;Wind;18.92
Spain;2015;Wind;17.78
Spain;2016;Wind;18.03
Spain;2017;Wind;18
Spain;2018;Wind;18.72
Spain;2019;Wind;20.54
Spain;2020;Wind;21.73
Spain;2021;Wind;23.21
Sri Lanka;2000;Wind;0
Sri Lanka;2001;Wind;0
Sri Lanka;2002;Wind;0
Sri Lanka;2003;Wind;0
Sri Lanka;2004;Wind;0
Sri Lanka;2005;Wind;0
Sri Lanka;2006;Wind;0
Sri Lanka;2007;Wind;0
Sri Lanka;2008;Wind;0
Sri Lanka;2009;Wind;0
Sri Lanka;2010;Wind;0.48
Sri Lanka;2011;Wind;0.8
Sri Lanka;2012;Wind;1.32
Sri Lanka;2013;Wind;1.97
Sri Lanka;2014;Wind;2.26
Sri Lanka;2015;Wind;2.68
Sri Lanka;2016;Wind;2.49
Sri Lanka;2017;Wind;2.51
Sri Lanka;2018;Wind;2.15
Sri Lanka;2019;Wind;2.28
Sri Lanka;2020;Wind;2.3
Sudan (the);2000;Wind;0
Sudan (the);2001;Wind;0
Sudan (the);2002;Wind;0
Sudan (the);2003;Wind;0
Sudan (the);2004;Wind;0
Sudan (the);2005;Wind;0
Sudan (the);2006;Wind;0
Sudan (the);2007;Wind;0
Sudan (the);2008;Wind;0
Sudan (the);2009;Wind;0
Sudan (the);2010;Wind;0
Sudan (the);2011;Wind;0
Sudan (the);2012;Wind;0
Sudan (the);2013;Wind;0
Sudan (the);2014;Wind;0
Sudan (the);2015;Wind;0
Sudan (the);2016;Wind;0
Sudan (the);2017;Wind;0
Sudan (the);2018;Wind;0
Sudan (the);2019;Wind;0
Sudan (the);2020;Wind;0
Suriname;2000;Wind;0
Suriname;2001;Wind;0
Suriname;2002;Wind;0
Suriname;2003;Wind;0
Suriname;2004;Wind;0
Suriname;2005;Wind;0
Suriname;2006;Wind;0
Suriname;2007;Wind;0
Suriname;2008;Wind;0
Suriname;2009;Wind;0
Suriname;2010;Wind;0
Suriname;2011;Wind;0
Suriname;2012;Wind;0
Suriname;2013;Wind;0
Suriname;2014;Wind;0
Suriname;2015;Wind;0
Suriname;2016;Wind;0
Suriname;2017;Wind;0
Suriname;2018;Wind;0
Suriname;2019;Wind;0
Suriname;2020;Wind;0
Sweden;2000;Wind;0.32
Sweden;2001;Wind;0.3
Sweden;2002;Wind;0.42
Sweden;2003;Wind;0.5
Sweden;2004;Wind;0.57
Sweden;2005;Wind;0.59
Sweden;2006;Wind;0.68
Sweden;2007;Wind;0.96
Sweden;2008;Wind;1.33
Sweden;2009;Wind;1.82
Sweden;2010;Wind;2.35
Sweden;2011;Wind;4.07
Sweden;2012;Wind;4.3
Sweden;2013;Wind;6.43
Sweden;2014;Wind;7.31
Sweden;2015;Wind;10.07
Sweden;2016;Wind;9.93
Sweden;2017;Wind;10.72
Sweden;2018;Wind;10.17
Sweden;2019;Wind;11.79
Sweden;2020;Wind;16.81
Sweden;2021;Wind;15.97
Switzerland;2000;Wind;0
Switzerland;2001;Wind;0
Switzerland;2002;Wind;0
Switzerland;2003;Wind;0
Switzerland;2004;Wind;0.02
Switzerland;2005;Wind;0.02
Switzerland;2006;Wind;0.02
Switzerland;2007;Wind;0.03
Switzerland;2008;Wind;0.03
Switzerland;2009;Wind;0.03
Switzerland;2010;Wind;0.06
Switzerland;2011;Wind;0.12
Switzerland;2012;Wind;0.14
Switzerland;2013;Wind;0.14
Switzerland;2014;Wind;0.15
Switzerland;2015;Wind;0.18
